platform_post_id,author_handle,label,p_offensive,p_hate,hate_flag,bucket,engagement,lang,text
2078844859293815092,RandHendricks,offensive,0.44393330812454224,0.441435307264328,True,offdomain,3,en,@AntiTrumpCanada The middle of Canada wants to leave and become part of the USA.  That’s a fact.  It’s the stupid people on both coast that are just idiots who voted for a socialist that why you can’t even protect your country without the USA’S help
2078979319624557026,CathrynneSheena,hate,0.3172624707221985,0.5182895064353943,True,offdomain,3,en,"@realMaalouf Imho, Hassan Salamey (the Muslim speaker in the video) is one of the many sleepers that's born and raised in US.

So yes, America has been infiltrated from within and thank God for President Trump to expose them out now!"
2077621188608905562,BrennaGibson007,offensive,0.37961190938949585,0.3359951078891754,True,offdomain,2,en,"@SpeakerJohnson IF THEY DISAGREE WITH YOU then THROW THEM OUT OF CONGRESS&lt; THEY ARE FOREIGNERS, THEY CAME INTO OUR COUNTRY ILLEGALLY!"
2078281129665126826,flagfriendly,hate,0.20003393292427063,0.6520239114761353,True,offdomain,1,en,@AuntieFa63 @Defenderofusa23 @JasonSimmo86712 So they can sell their children into marriage before they even hit puberty. Islam is a violent theocracy that is in complete opposition to the constitution. Islam has no place in the United States of America and is as legitimate as Satanism.
2077756684378718506,MAGAQ1945,hate,0.1469152569770813,0.8102537989616394,True,offdomain,1,en,@RepOgles Let's do it they all need to go and I don't care what I'm called for saying so. We should have never allowed foreigners in offices of leadership they will always be interested in putting their Nation before America. And you see how anti-america many of them are send them all back
2078492511337906428,Cornyboob,hate,0.33856654167175293,0.5130926966667175,True,offdomain,1,en,Why do black people get caught on camera stuffing ballots to rig the election most are black people eager to be slaves again under your white supremacist gay Nazi rape cult or are they being lied to and used as weapons in a war against America just to be thrown away like black trash
2079149995014381795,JoeMarsMan,hate,0.32139378786087036,0.40306204557418823,True,offdomain,0,en,"@realMaalouf @SecWar    @SecRubio  TREASON is a crime.  Arrest this Islamic Jihadist Terrorist

Denaturalize him &amp; deport the enemy of THE UNITED STATES of AMERICA

Islam took Iran in 79 &amp; DECLEARED WAR on THE UNITED STATES of AMERICA &amp; ISRAEL

This is WAR.  End the INVASION

🇺🇸MAGA🇺🇸"
2077022805317841025,telegram,neither,0.07970435172319412,0.4392007291316986,True,ambiguous,5799,fr,aliens
2077807093608821069,ed_kemboi,neither,0.32704055309295654,0.3256700038909912,True,ambiguous,5640,in,Murima nayo siasa yao wanakuanga wameweka kwa roho😂😂😂😂
2078833343408304374,sususqueen,neither,0.22082313895225525,0.3340335190296173,True,ambiguous,4979,fr,Jvois de plus en plus de noirs ne plus être religieux diiingue
2077834083015491733,SiayaFinest041,hate,0.27636298537254333,0.6670899391174316,True,ambiguous,4524,en,Enyewe Luos tunakuanga very cheap politically. Learn from the mountain nugu ici.
2072453360381313532,MigunaMiguna,offensive,0.4938926100730896,0.3351726233959198,True,ambiguous,3905,en,"The Belgians murdered Patrice Lumumba and dissolved his body in acid. And today, a stupid referee helped them steal from Senegal.

I’ve said it. Now, the European slaves can cry!"
2078341196607357251,jo_nordic,hate,0.33086225390434265,0.533337414264679,True,ambiguous,2903,en,"@Parodyjeffx Remember the jews that were recently caught setting fires in Chili that destroyed thousands of acres? 

It's literally a nightmare having to  live in a world with these savage creatures."
2071929405299974635,MigunaMiguna,neither,0.26119741797447205,0.3675908148288727,True,ambiguous,2010,en,"If you want to understand why a handful of Europeans with bibles and guns enslaved and colonized Africans, watch how vicious Black South Africans are united in their hatred and xenophobic violence against fellow Black Africans who supported them and granted them refuge during apartheid while not bothering the Boers who stole 80% of their land and control 99% of their minerals and economy."
2073768418478608802,amuse,neither,0.18533417582511902,0.3014896810054779,True,ambiguous,1866,en,ISLAMIFICATION: Obama’s decision to create Islamic enclaves instead of assimilating migrants has been devastating to our republic. These Somali children are lost forever.
2079319490865598695,mcgregormackenz,neither,0.3125864267349243,0.2995056211948395,True,ambiguous,1437,en,"Apparently it’s now “racist”, according to HR, to sanitise your hands immediately after a handshake with a muslim?

And apparently “they wipe their arse with their bare hands” isn’t a defence and is a sign of “further racism” ? 

Am I going mad? 

UTTER WOKE NONSENSE"
2078478258065273203,jcbsoficial,hate,0.1924302726984024,0.7587883472442627,True,ambiguous,1368,pt,"@NBAdoPovo Esse é o mínimo que argentino deve ser tratado, raça maldita, índios de merda que se acham europeus, o mundo conheceu os bostas que eles são"
2077436786297491800,RepNancyMace,hate,0.10888231545686722,0.7386940717697144,True,ambiguous,1034,en,@Dominos_UK Muslims invading civilization.
2078809201556553956,Maryian96,neither,0.09312215447425842,0.3794386684894562,True,ambiguous,652,in,Felix kosgei ameambia wakale mambo imeharibika murima so they have to get votes by next year wachukue kura ama kijana wa nyumbani arudi sugoi Riggy v aki🤣🤣🤣🤣🤣🤣 https://t.co/q8Rcj8bqrA
2077291612795703575,mishtal,hate,0.2036566436290741,0.5391002297401428,True,ambiguous,552,en,"@RoKhanna @RepThomasMassie I will translate:

""I want to leave 7 million Jews defenceless while surrounded by Islamic terrorists seeking to slaughter them. I want to them to get rid of their anti-missile defense system too.""

https://t.co/Z3qZMvbER6"
2077981647379562538,MissKwegah1,hate,0.29164212942123413,0.6697938442230225,True,ambiguous,486,in,"Waluuuuuhyaaaaa next ni nyinyi. Shida yenyu ni mutakula na mupeane kura! 
Aaaaah! Kwanza nyinyi wa Bungoma na Kakamega."
2077937756156600468,Roswell_42,hate,0.10706751048564911,0.8517794013023376,True,ambiguous,349,en,@WhiteHouse Can a country be great that protects Jewish pedophile networks which blackmail elites? https://t.co/rYcE4SY0yg
2075458747254866200,georgediano,hate,0.3320632576942444,0.3855426609516144,True,kenya,4179,en,It's going to take at least three generations for other tribes to outshine Murimaa babes. Those demons are the most beautiful set of women we have in Kenya.
2078170590729433425,georgediano,hate,0.2716180086135864,0.6749550700187683,True,kenya,1251,en,"98% of Nigerians in Kenyans are swindlers, Rapists & online fraudsters. Their passports expired long time ago, they are in Kenya illegally. We shouldn't tolerate this bastards anywhere in our country. The government needs to take action or else we will start dealing with them namna hatari."
2073601881922851316,LabanMbunya,neither,0.32086700201034546,0.3246031403541565,True,kenya,1149,en,"Alfred Keter told Ruto,“If you ever become president,you’ll leave Kenyans hating the Kalenjin and lumping every one of them together with your thieving image.”The man saw the mess before it even happened.... https://t.co/HNyxlqZimO"
2075522934290948408,AokoOtieno_,hate,0.19033558666706085,0.7683115601539612,True,kenya,1132,en,"Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2078857918275809732,JimmyKings8,hate,0.10529068857431412,0.7817577719688416,True,kenya,726,en,"BREAKING NEWS

ITUMBI has directed police to deal mercilessly with Kikuyus who were

Caught protecting DCP votes

When did protecting votes become a crime?

Instead of helping Ruto

Ruto's slaves from Murima like ITUMBI are making more damage

By August 2027 Ruto will be TAKATAKA"
2078866099903291900,Lightcasttvke,hate,0.26092803478240967,0.62586909532547,True,kenya,561,tl,"""WAKIKUYU ni bure kabisa, that is a negative investment."" ~ Fernandes Barasa to Ruto https://t.co/zyeMO9lRET"
2075315988665352659,gpdkaluma,offensive,0.37668541073799133,0.32275277376174927,True,kenya,557,en,Luyhas are waking up to the reality that Sifuna is a Kikuyu/Gachagua puppet to return power to Mt. Kenya and continue Kikuyu ethnic domination! https://t.co/sJNUzhXyqs
2076374931735007414,HakeemNassur,hate,0.1795862764120102,0.7633082866668701,True,kenya,477,en,@HonOscarSudi Kalenjin presidency is always a curse to the nation NEVER AGAIN Kasongo should be the last
2076080992255676432,lizlisz1,hate,0.11331991106271744,0.7790416479110718,True,kenya,466,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076091748049141958,BOYZWAEASTLAND,hate,0.11331991106271744,0.7790416479110718,True,kenya,466,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076092931752988677,GitariDan,hate,0.11331991106271744,0.7790416479110718,True,kenya,466,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076259547795071451,welstec,hate,0.11331991106271744,0.7790416479110718,True,kenya,465,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2075706258015793460,kelvinngari62,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076037906402005410,lishburgtoo,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2075719578169081957,ahmadnasir254,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076044854719594946,BabuKinstone,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2076045699482087905,Husmo,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2075727541898293701,kayadolf,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2075725698891719069,chrishotiiz,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
2075709249208848710,MkpMkpjfy,hate,0.11331991106271744,0.7790416479110718,True,kenya,426,en,"RT @AokoOtieno_: Murkomen. Cheruiyot and Maandago are all at war with each other

Uskie Farouq is collecting sadaka from all coz anajua after Ruto, he just has to retire with Linda Ogutu as trophy wife 

Hapa mbele mtajua siasa kweli sio ya kifua, ni ya magoti 

If I have to pick, I would go for… FUCK THEM ALL 

After Ruto we block any other Kalenjin by all means necessary! 

Meanwhile, Gava has spent 10B on by-ELECTION. 

2027, first election without Raila in over 30 years, will be historical"
