story_id,n_authors,seed_handle,seed_followers,seed_suspicion,seed_in_coord,fringe_seeded,picked_up_by_big,big_handle,lag_to_big_h,early_in_coord,text
37,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"One title. Full access.

With Premium, your subscription unlocks both the website and the ePaper for the publi"
38,11,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,Small-scale traders and especially hawkers in Keumbu Market are counting losses following a customer boycott c
39,11,curtis_samwel,12191.0,0.21,False,False,True,Disembe,108.1,0,@gabrieloguda What was uhuru doing with our money 😂
40,9,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"IG Douglas Kanja: We have deployed over 1,000 police officers to provide security during Ol Kalou election. We"
41,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Tune in to NTV Kenya this Sunday at 9:00 AM.for a captivating episode of ""The Power of Prophecy ""by Prophet El"
42,11,MusaliaMudavadi,1402090.0,0.004,False,False,True,MusaliaMudavadi,0.0,0,Kenya's diplomatic missions are at the forefront of advancing our national interests and creating opportunitie
43,12,Nairobi_Leo,7540.0,0.193,False,False,True,rigathi,10.7,0,Kalonzo Musyoka and Eugene Wamalwa at a wedding ceremony. https://t.co/H7ZsUvj6Xe
44,6,Muriithi__C,419.0,0.246,False,True,False,,,0,"Muchina Wa UDA stood tall in the Inooro TV debate. #SamuelNyagah brought vision, clarity, and a genuine desire"
45,8,lindahoguttu,830913.0,0.057,False,False,True,lindahoguttu,0.0,0,EACC going  for recovery of 1.5Billion in the Ruaraka land case . https://t.co/3j0opuGVg4
46,5,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Law Society of Kenya (LSK) President Charles Kanjama, flanked by members of the LSK Council, address the press"
47,6,AllienAizz,9126.0,0.169,False,False,False,,,0,"Coastal youth in Kilifi, Lamu and Tana River converge at Malindi Buntwani Water Front Park. Embrace Ruto Fundi"
48,12,BarronTNews_,782657.0,0.051,False,False,True,BarronTNews_,0.0,0,@JoeBiden @littlebrown Did you write anything about the autopen?
49,12,nairobeeee,10659.0,0.169,False,False,False,,,0,The public continues asking whether some opposition figures genuinely left UDA or simply changed platforms whi
50,10,hgolicha876,1006.0,0.208,False,False,True,BrianMPeter,49.3,0,@lynn_ngugi1 Yes your a tribal bigot with wamunyoro mindset
51,11,grad3361,2473.0,0.271,False,False,False,,,0,"Copied from a friend

Before the weekend ends and America moves on to the next headline, we need to pause and "
52,6,MusaliaMudavadi,1402090.0,0.004,False,False,True,MusaliaMudavadi,0.0,0,"Strong business partnerships are the engine of economic growth, driving investment, creating jobs and opening "
53,2,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Join the conversation this Sunday at 6:00 PM on Healthy Nation as we discuss men’s mental health, break the st"
54,5,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,'Niko Kadi' mobilizer Allans Ademba arrested in Ol Kalou https://t.co/R0p1IrZnLk
55,5,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Defending champions Argentina survive Cape Verde scare to edge out hard-fighting African team 3-2 deep in extr
56,7,Itouasaddam1,,,False,False,False,,,0,@KasongoKas DERWANDALISATION initié par le président national du mouvement Congo en avant kas kasongo kalalo
57,10,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"'We'll monitor your activities every minute until 2027 elections', Murkomen warns Gachagua https://t.co/66A53E"
58,10,Sheryllisa52263,6579.0,0.291,False,False,True,NationAfrica,36.0,0,"Murkomen should resign, he has left security to the dogs, now he think he can threaten rigathi gachagua😏. http"
59,6,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"ODM 2027 plan:

ODM to announce support for President Ruto’s re-election

Oburu says party announcement before"
60,7,jmuragengunjiri,5171.0,0.038,False,False,True,Kenyans,53.7,0,A total of 27 transformers in Mbeere North Constituency have been removed and moved to Ol Kalou to play UDA PR
61,10,KenyanSays,209885.0,0.099,False,False,True,KenyanSays,0.0,0,"""The Biggest threat of Devolution is at State House'', Nairobi Senator Edwin Sifuna lectures Cherargei. https:"
62,8,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,EMMANUEL WANYONYI clocks 2:11.83 to break long-standing world record in men's 1000m race in Monaco Diamond Lea
63,2,IEBCKenya,1046156.0,0.012,False,False,True,IEBCKenya,0.0,0,"Preparations for the 16th July 2026 Ol Kalou Parliamentary By-Election are in top gear.

Training of Deputy Pr"
64,9,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,IEBC Chairperson Erastus Ethekon to Ol Kalou voters: Do not take a picture of your ballot paper once you mark 
65,6,omwambaKE,1319220.0,0.086,False,False,True,omwambaKE,0.0,0,"The prices of Super Petrol, Diesel and Kerosene remain unchanged; EPRA announces.
In Nairobi, the new prices w"
66,6,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"High Court suspends Executive Order placing IPOA under Interior Ministry, preserving its independence; Respond"
67,5,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Former Nairobi county finance executive Charles Kerich avoids jail as court lifts contempt orders over Sh106m 
68,3,calpaul001,59.0,0.443,False,True,False,,,0,Spend quality time with family while enjoying free mbuzi choma and timeless entertainment at Mbuzi na Marafiki
69,10,StanysBujakera,830488.0,0.066,False,False,True,StanysBujakera,0.0,0,"#RDC: Le lieutenant-général Jean-Pierre Kasongo Kabwik a haussé le ton, ce vendredi 17 juillet, à l'endroit de"
70,4,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Heartbreak for Cristiano Ronaldo’s Portugal as Spain seal a 1-0 win to reach the World Cup last eight, Mikel M"
71,9,DrOparanya,459341.0,0.003,False,False,True,DrOparanya,0.0,0,"Cabinet Committee Meeting in Karen, Nairobi, chaired by the Deputy President, H.E. Prof. Kithure Kindiki. http"
72,4,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,High Court orders Nairobi County Finance CECM Charles Kerich to surrender himself at Industrial Area Prison an
73,9,MrMuraya,2694.0,0.157,False,False,True,TheStarKenya,1.1,0,"IEBC Temporarily Suspends Online Voter Search During ICT System Upgrade
https://t.co/SlqpzuN8uh"
74,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Mary Wambui loses control of posh Glee Hotel 
https://t.co/m9JTCPHsPl"
75,5,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,MERU STATE Lodge: Court suspends public participation on excision of Imenti Forest for construction of golf co
76,5,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"High Court certifies as urgent a petition against duty-free import of 490,000 tonnes of rice; orders governmen"
77,2,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"People living with HIV are demanding constant supply of quality and standard Antiretroviral (ARVs).
This follo"
78,3,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"KENYA GDP grows by 5.3pc in Q1 2026, up from 4.9pc last year, marking the fastest first-quarter economic growt"
79,3,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,US grounds American citizens in Congo amid escalating Ebola crisis https://t.co/07BTGIUlSu
80,4,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Gov’t extends 8% VAT relief on fuel, injects Ksh.945M subsidy https://t.co/EQ5PJtcv6u"
81,9,SamPhillip70654,1459.0,0.191,False,False,False,,,0,@England You useless cunts. Why have you got 6 defenders on at 1-0 against argentina. Kys
82,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Molo farmer: Why I switched from maize to tomatoes 
https://t.co/ubQM8R9ohp"
83,7,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Police arrest three suspects over alleged attack on Linda Mwananchi convoy in Keumbu, Kisii County, on Friday,"
84,4,AhmedAKosar,12400.0,0.087,False,False,True,StandardKenya,5.1,0,🚨 BREAKING: New CCTV footage shows the moment armed robbers stormed Chaiiwali Café in Nairobi's Westlands over
85,4,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Police summon Nyaribari Chache MP Zaheer Jhanda over Keumbu attacks on Linda Mwananchi rally; arrest four more
86,5,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Saba Saba Protest Plan:

Lobby group notifies police of Saba Saba day protest in Nairobi

Grassroots economic "
87,8,Obuchunju,15980.0,0.125,False,False,True,Kibet_bull,0.0,1,National Assembly Speaker Moses Wetang'ula has issued a 48-hour demand to Standard Group over a front-page sto
88,7,_KithureKindiki,99052.0,0.001,False,False,True,cbs_ke,0.1,0,"KAREN, NAIROBI CITY COUNTY, KENYA
TUESDAY, JULY 7, 2026
The Government’s digitisation programme introduced in "
89,4,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,"Some 8,915 students who qualified for degree programmes in the 2025 KCSE placement opted for tertiary institut"
90,8,TabraizAurah,4264.0,0.062,False,False,False,,,0,🚨Waseem Abbas and Saba Hameed are now divorced!! Waseem Abbas revealed during a recent podcast that his marria
91,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Kenya loses Somalia miraa market ground to Ethiopia 
https://t.co/wzQI5C6I9V"
92,8,Kenyans,2736594.0,0.157,False,False,True,Kenyans,0.0,0,"Government to distribute Ksh3.06 billion to 122,203 Kenyans under NYOTA Phase II rollout https://t.co/ZT2qiwY6"
93,8,Nairobi_Leo,7540.0,0.193,False,False,True,citizentvkenya,0.6,0,"Fred Matiangi receives Dr. Jendayi Frazer, former U.S. Assistant Secretary of State for African Affairs and fo"
94,7,Chamgeifm1,43862.0,0.043,False,False,True,KBCChannel1,0.6,0,"Interior CS Kipchumba Murkomen has warned sponsors and facilitators of banditry in Samburu, West Pokot, Tiaty "
95,7,tv47digital,4173.0,0.201,False,False,True,citizentvkenya,23.9,0,"COUNTDOWN TO OL KALOU POLL

IEBC receives ballot papers for Ol Kalou by-election ahead of July 16 mini-poll.

"
96,4,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Poverty trap

Up to 2.4 million Kenyans risk falling into poverty: World Bank
Urban households expected to be "
97,4,Qellaah,26472.0,0.27,False,False,False,,,0,Safe politicians ignite ethnic fires from afar. Gachagua champions Kikuyu causes in crowded rallies. Yet minor
98,7,kiambu_magazine,20335.0,0.162,False,False,True,TheStarKenya,0.0,0,"DP Kithure Kindiki in Nakuru for the NYOTA Business Capital Component Disbursement Programme, https://t.co/VYM"
99,8,jmuragengunjiri,5171.0,0.038,False,False,True,TheNairobiTimez,1.1,1,"""Ni technical error"" - DP Kindiki shocked on hearing the NYOTA Beneficiary received Ksh19,000 instead of Ksh22"
100,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"KDF officer who shocked nation by killing wife, two children and hiding bodies in car boot found guilty 
https"
101,3,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"US strikes Iran:

US launches fresh strikes as Iran closes the Strait of Hormuz

#CitizenWeekend https://t.co/"
102,6,Ass_tridah,31527.0,0.191,False,False,False,,,0,"Kenyans are tired of Fake Infotrack Poll that conveniently omits Waiguru, Oparanya, Mudavadi and Wetangula fro"
103,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"PrEP uptake collapses by 80pc as donor funding dries up #HealthyNation 
https://t.co/QnSO9PoRz9"
104,7,abbiezuena,10857.0,0.054,False,False,True,omwambaKE,6.7,1,"Today in the Senate, Sen Edwin W. Sifuna will be pushing for accountability on issues that directly affect the"
105,3,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,Judge Muchelule's missing gun recovered from Westlands robbery suspect killed by police https://t.co/eEI1nbEO0
106,7,ireneswift700,157.0,0.147,False,True,False,,,0,Babu Owino has completed The construction of the road between Shooters and Gesora Junction in Mihang'o Ward is
107,6,TheStarKenya,2416897.0,0.15,False,False,True,TheStarKenya,0.0,0,Public Service CS Geoffrey Ruku says the outcome of the Ol Kalou by-election will not change Mt Kenya East's s
108,4,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Colombia qualify for last 16 knockout stage of 2026 Fifa World Cup after 1-0 win over Ghana https://t.co/eGymd
109,4,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Gachagua: No rush to name candidate!

DCP leader says there is no rush to name joint opposition candidate

Gac"
110,6,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"President Ruto offered me and MPs Kimani Ichung'wa and Ndindi Nyoro acres of land, Former DP Gachagua claims h"
111,7,Eastleighvoice,33789.0,0.151,False,False,True,TheStarKenya,46.6,0,The government says the National Infrastructure Fund has been operationalised with Sh345 billion in seed capit
112,7,DinahOmina,849.0,0.115,False,True,False,,,0,@Obuchunju Salasya should mind his business and stop telling Sifuna what to do.
113,6,trailblazer_Nic,457.0,0.363,False,True,True,Wakabando,27.3,0,"@NPSOfficial_KE MEANWHILE YOU PIECES OF SHIT DEAL WITH THIS MOTHEFUCKERS.
#RutoMustGo https://t.co/eGVKVa7J5S"
114,6,CaptainKipkorir,15806.0,0.118,False,False,False,,,0,Deputy President Prof. Kithure Kindiki will be in Kericho tomorrow for an interdenominational prayer service.
115,4,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Road to glory: Morocco qualify for quarter-finals of 2026 Fifa World Cup after a 3-0 win over Canada.

#NTVWee"
116,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,1,"Deal or no deal?

July 5, 2026 🗞️ 📷   

Read today's Nation ePaper and follow live updates on https://t.co/dOH"
117,5,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Opposition Flagbearer Headache:

The United Opposition is facing growing internal divisions over the process o"
118,7,Mukene399456,75.0,0.657,True,True,False,,,2,@makaumully Good to see you now know that Kalonzo cannot be the flag bearer.Politicians of his age and ilk mus
119,5,Kenya_Digest,2642.0,0.034,False,False,True,StandardKenya,1.1,0,Commuters left stranded at Githurai 45 as matatus withdraw from roads ahead of Saba Saba protests. https://t.c
120,5,EACCKenya,694107.0,0.008,False,False,True,EACCKenya,0.0,0,"𝗘𝗔𝗖𝗖 𝗦𝗘𝗖𝗨𝗥𝗘𝗦 𝗖𝗢𝗡𝗩𝗜𝗖𝗧𝗜𝗢𝗡𝗦 𝗢𝗙 𝗧𝗪𝗢 𝗙𝗢𝗥𝗠𝗘𝗥 𝗜𝗘𝗕𝗖 𝗢𝗙𝗙𝗜𝗖𝗜𝗔𝗟𝗦 𝗙𝗢𝗥 𝗨𝗦𝗜𝗡𝗚 𝗙𝗢𝗥𝗚𝗘𝗗 𝗔𝗖𝗔𝗗𝗘𝗠𝗜𝗖 𝗖𝗘𝗥𝗧𝗜𝗙𝗜𝗖𝗔𝗧𝗘𝗦

The Ethics and A"
121,2,rictechICT,135.0,0.223,True,True,False,,,1,"@MarthaKarua Monitor your property anytime, anywhere with advanced smart CCTV solutions offering real-time vie"
122,6,Lightcasttvke,8325.0,0.026,False,False,True,Kenyans,2.4,0,"""Ruto analeta maendeleo kubwa kubwa hapa Ukikuyuni, the economy of OL Kalou has really grown."" ~ Gachagua http"
123,4,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Six protesters charged over road obstruction during Saba Saba demonstrations released on Sh10,000 bond https:/"
124,5,kiambu_magazine,20335.0,0.162,False,False,True,citizentvkenya,4.4,0,"Babu Owino, four protesters arrested during the Saba Saba demonstrations, have been released on a cash bail of"
125,3,KTNNewsKE,879242.0,0.154,False,False,True,KTNNewsKE,0.0,0,Uganda will deploy medical experts and establish additional Ebola treatment centres in eastern Democratic Repu
126,5,junior_che60226,11.0,0.264,False,True,True,_fels1,3.3,0,"Rironi-Mau summit Road taking shape
Ruto tutam ✌️"
127,7,CharlotteMugish,1251.0,0.173,False,False,False,,,0,Former Butambala MP Muhammad Muwanga Kivumbi has been granted bail by the International Crimes Division of the
128,2,TonyGachok15769,32623.0,0.116,False,False,False,,,0,"Following a meeting between him and Edwin Sifuna, George Natembeya, has today, existed DAP-K and will begin on"
129,2,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,How thieves pulled off heist targeting Sh2bn rice on Saba Saba day https://t.co/CKZ5tv89e3
130,5,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,KRA COLLECTS Sh2.8tr revenue in 2025/26 financial year on sustained growth in domestic revenue mobilisation; a
131,6,Adele_lide,34708.0,0.223,False,False,True,itskipronoh,0.3,0,"Rigathi Gachagua harsh warning to Linda Mwananchi ahead of their Ol Kalou rally scheduled for tomorrow 

""We d"
132,2,timothyturunga,16984.0,0.014,False,False,False,,,1,Irungu Kangata should stop lying to Linda Mwananchi and Sifuna that they can climb the mountain without visiti
133,7,The_Informer_KE,50.0,0.234,False,True,True,TheNairobiTimez,1.2,1,"Kasongo's point men Mudavadi and Wetangula were forced to leave Kanduyi Stadium after ""Wantam"" and ""Sisi Ndio "
134,7,JaphethOtieno01,15953.0,0.162,False,False,True,omwambaKE,0.5,0,"Goons were mobilized to attack James Orengo and Edwin W. Sifuna at St. Stephen's ACK Cathedral in Kisumu.

 Th"
135,7,HonKangata,657821.0,0.006,False,False,True,HonKangata,0.0,0,My driver Gitari has been shot during Linda Mwananchi Rally https://t.co/1tZ79xoVOZ
136,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,World Cup history: a timeline of Africa’s greatest moments on the field https://t.co/dvWKQIxkf4
137,2,StandardKenya,2732828.0,0.155,False,False,True,StandardKenya,0.0,0,High Court certifies urgent bid to jail or fine Speaker Moses Wetang'ula over alleged breach of orders barring
138,4,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"7 Catholic Priests Suspended:

7 catholic priests in Maralal Diocese suspended from ministry

Bishop Joya crac"
139,7,DatBihGahonsol,273.0,0.258,False,True,True,harryjsisson,1.0,0,@JoeBiden @littlebrown I just read it dat bih gah https://t.co/wlnF0wgozz
140,2,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Kenya's exports to Iran shrank by 40.7% in the three months to March after war erupted in the Middle East.

 D"
141,7,Blury_xl,20723.0,0.172,False,False,False,,,0,"The joint statement by Maraga, Kalonzo, Karua, Sifuna and Matiang'i has put Registrar on notice. Section 14 is"
142,4,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"Shock as armed masked men show up, teargas Ol Kalou residents at AC Primary polling station https://t.co/ghV04"
143,4,Crystal_Vivvy,13040.0,0.274,False,False,False,,,0,"The Senate deserved an impartial referee, not a political participant. Kingi, the King of Impunity, chose a pa"
144,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Hero’s welcome for Somali referee Artan as he arrives in Nairobi’s Eastleigh area 
https://t.co/He61xrAIj7"
145,6,SirJohnKE,30471.0,0.117,False,False,True,Goddie_Ke,0.7,0,🇰🇪||🛫 The long-awaited KSh 154.2 billion Jomo Kenyatta International Airport (JKIA) modernisation project will
146,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"The 70-year scientific quest to eradicate cervical cancer #HealthyNation 
https://t.co/5ZzAi4ehzN"
147,3,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,"More than 200 families in Changamwe, Mombasa County, are living in fear of eviction after the government's not"
148,2,NationAfrica,4265144.0,0.15,False,False,True,NationAfrica,0.0,0,"Some images don’t just capture history they carry proof, memory, and meaning.

With Nation Vault, Africa’s def"
149,3,citizentvkenya,6853809.0,0.159,False,False,True,citizentvkenya,0.0,0,"Trans Nzoia maize crop crisis

Trans Nzoia farmers counting losses due to poor rains
Drought has destroyed mai"
150,3,JoshuaNdeg91985,54.0,0.277,True,True,True,NationAfrica,165.1,1,"@Kenyans SPLASHING AND SPLURGING KENYAN TAXPAYERS MONEY IN BILLIONS JUST TO WIN, IMAGINE JUST TO WIN A BY-ELEC"
151,3,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Mitumba market fire: Hundreds of Machakos business people count losses after night inferno; Governor Wavinya N
152,2,_Xxonia,92.0,0.297,False,True,False,,,0,Onlookers state that the Linda Mwananchi brigade began assaulting ordinary people in Kisii Town. They then mar
153,6,PeopleDailyKe,241444.0,0.116,False,False,True,PeopleDailyKe,0.0,0,"Kindiki defends partial sale of state stakes in Safaricom, Kenya Pipeline

Read the whole story here: https://"
154,3,DaSignior,262.0,0.259,False,True,True,KTNNewsKE,63.8,0,"@KeTreasury @JohnMbadiN Nothing to trust from you.
Maybe the statement of FAKE NEWS is the one which is Fake."
155,6,damarismaina3,471.0,0.278,True,True,True,cbs_ke,8.2,1,@Kenyans How sustainable is this kind of nonsense or can other  constituencies now begin praying for their MPs
156,6,omwambaKE,1319220.0,0.086,False,False,True,omwambaKE,0.0,0,Senator Samson Cherargei demands the resignation of Interior CS Kipchumba Murkomen over persistent national se
157,4,ZShinanzi,476.0,0.25,False,True,False,,,1,@Maskani254 @kawive @TISAKenya @nisisikenya Misuse of public resources and limited accountability for senior o
158,4,ntvkenya,5352508.0,0.15,False,False,True,ntvkenya,0.0,0,Trump says deal to end war is ‘over’ after Iranian strikes https://t.co/KkH1OrbGkl
