cluster_id,n_posts,n_authors,span_min,median_echo_lag_min,echoes_within_60min,seed_handle,seed_followers,text
715,3,2,1935.0,180.0,0,ntvkenya,5352499,Ol Kalou final bend: By-election race hits homestretch https://t.co/HvHKgqq9SB
734,2,2,315.3,315.3,0,StandardKenya,2732827,The Egyptian football federation said Wednesday it had asked for the officiating team who handled the Pharaohs' 3- 2 los
749,26,24,1491.8,357.6,1,KenyanDispatch,134,"Ruto Appoints Kindiki to Lead Ksh2.2 Trillion Lamu Oil Refinery Project as Groundbreaking Date Set

https://t.co/oJQjtqS"
756,2,2,390.0,390.0,0,StandardKenya,2732827,"US President Donald Trump said the ceasefire with Iran was ""over"" on Wednesday, after fighting flared between the countr"
764,15,11,17726.0,5334.3,0,brite768,6306,@WilliamsRuto Tutam
775,27,19,121.5,70.3,8,minista001,14276,The Kenya Kwanza Administration continues investing in young entrepreneurs through NYOTA Phase 2. Business grants are op
776,45,20,129.4,74.3,6,Tweets_by_jnr,18321,"I Echo What Nyandarua Youth League says. 

Respect the people of Ol Kalou by addressing genuine concerns instead of impo"
779,2,2,0.2,0.2,1,NotYourKaya1,7067,Stability remains Tanzania's greatest advantage because hardworking citizens consistently reject violence and choose pea
781,2,2,20.0,20.0,1,ntvkenya,5352499,"Skill Up Africa 4th Edition 2026 is happening at KICC, Nairobi on 15th–16th July 2026.

Pull up for BEBA NA MIA MOJA — s"
787,3,2,370.0,250.0,0,KTNNewsKE,879240,Employers of political aspirants could soon be required to submit employment status reports confirming that employees se
788,3,3,43.3,27.9,2,tv47digital,4173,"Mudavadi: ""Opposition mnajidanganya sana! Those who think they will beat Ruto in 2027 are in for a rude shock!"" https://"
793,6,5,766.8,477.3,0,litundunya,5606,Court bars Wetangula and Kingi from engaging in active politics while still serving as Speakers. https://t.co/4BXohVmeX1
796,2,2,0.8,0.8,1,yNews_digital,1655,"DCP Leader Rigathi Gachagua has claimed there are attempts to postpone the July 16 Ol Kalou by-election, urging the IEBC"
816,2,2,0.4,0.4,1,IamBart_,216,I’m in agreement with Nyandarua Youth League that unity is our strength. We refuse to be divided by outside interests. O
825,17,15,13963.8,6884.2,0,CollinaCleo_nft,11968,@open__mouth Thank you Saba 💕🥰🍀
829,4,2,4751.9,4728.9,0,KevinBoscoJnr,2049,"I am not supporting Ruto but for all I know, I will never view him as a political juvenile. 

All these circuses we are "
832,3,2,1095.0,5.0,1,KTNNewsKE,879240,"OPINION: Ahead of next week’s Ol Kalou by-election, which the electoral commission has threatened to call off over alleg"
854,3,2,1795.0,140.9,0,NationAfrica,4265144,"The skin-lightening lie and how my niece made me stop bleaching 
https://t.co/bvaYimftyy"
860,4,4,19.1,16.9,3,kbcenglish,28823,"IEBC says the campaign period for the Ol Kalou parliamentary by-election will end today at 6:00 p.m., which is 48 hours "
873,21,2,615.0,0.0,1,ntvkenya,5352499,"The countdown begins… 
In just a few hours, Skill Up Africa 4th Edition takes over KICC Nairobi!

Youth, this is your sp"
874,2,2,79.8,79.8,0,StandardKenya,2732827,PCEA Mai A Ihii Booth High School in Kikuyu closed indefinitely after principal and Board chair arrested over alleged se
880,2,2,0.0,0.0,1,ntvkenya,5352499,"The countdown just begins… 

Only a few hours remaining before Skill Up Africa 4th Edition 2026 takes over KICC, Nairobi"
887,3,2,147.1,147.1,0,KTNNewsKE,879240,"Kuresoi North MP Alfred Mutai has avoided charges over links to the shooting chaos in Kuresoi North on June 19, 2026, wh"
889,4,4,404.8,269.5,0,KenyanSays,209881,Kenyan tech innovator Miringa is testing his new vote-tallying system during tomorrow's by-election in Ol Kalou. The tri
898,5,2,1848.0,368.1,0,NationAfrica,4265144,"Kenya’s Harambee Starlets are flying to France to chase African glory 
https://t.co/HsbSyvDPjE"
899,3,2,646.6,466.6,0,NationAfrica,4265144,"Mbagathi road crash: Four friends, one dream, three lives lost in unimaginable tragedy https://t.co/vetDduuTRz"
916,3,2,1590.0,630.0,0,ntvkenya,5352499,"Woman sues lawyer, property buyer over alleged fraud in Nairobi house transfer https://t.co/eBLLzBf7Tc"
932,14,12,6158.3,225.8,3,NationAfrica,4265144,"PRESIDENT RUTO signs Sovereign Wealth Fund Bill, 2026 into law; it establishes Fund through which revenues from Kenya's "
946,2,2,799.2,799.2,0,Abdoulhameed0,1094,@Pharmacio001 Kasongo 😂
948,2,2,0.5,0.5,1,VictorMuta54071,915,"Portraying oneself as victim may energize supporters politically, but doesn't build infrastructure, create jobs . Lastin"
951,2,2,104.4,104.4,0,keah_ke1,9574,"A stronger Ol Kalou requires leaders who understand local challenges while preparing for future opportunities. Vision, c"
953,3,2,881.6,881.6,0,NationAfrica,4265144,IEBC threatens to pull plug on Ol Kalou poll https://t.co/tKDYLujv4q
964,21,21,1411.6,260.4,2,RadioGenKe,6106,"IEBC warns Ol Kalou by-election could be postponed or cancelled over violence, alleged bribery
#HomeOfHardTruths
https:/"
977,4,2,1105.0,166.8,0,ntvkenya,5352499,FIFA’s embrace of technology backfires in controversy-riven World Cup https://t.co/gSam1SmXnN https://t.co/KfhzHfoeXs
1015,3,2,962.0,122.0,0,NationAfrica,4265144,"IEBC: Goons will cost you the ballot 
https://t.co/laSOBFoZdu"
1016,3,2,485.0,50.0,1,StandardKenya,2732827,"Is it simply a matter of the wrong vocabulary? Legislative vocabulary, to be precise. If Parliament banned social media "
1028,3,2,165.6,165.6,0,KTNNewsKE,879240,Business tycoon Yagnesh Devani has suffered a major setback after the High Court dismissed his bid to terminate four cri
1039,2,2,1.6,1.6,1,KTNNewsKE,879240,"Standard Courier is a reliable, on-time, efficient service that guarantees timely deliveries that maintain the quality o"
1046,2,2,406.9,406.9,0,LookUpTvDigital,21,KINDIKI: NI LEO SI LEO? https://t.co/xWF4pe9G0W
1047,6,2,2879.9,0.0,1,ntvkenya,5352499,"Africa’s creative economy isn’t just growing — it’s becoming the heartbeat of global influence.

From music and fashion "
1048,2,2,6.0,6.0,1,ntvkenya,5352499,Ol Kalou by-election: Anti-riot police leave AC Primary School following standoff over police vehicle contents https://t
1063,3,2,270.0,0.0,1,KTNNewsKE,879240,Four officers at Kamkunji Police Station are under investigation for allegedly stealing Sh21 million belonging to a Cong
1072,9,3,4176.5,2095.3,1,NationAfrica,4265144,"KENYA GDP grows by 5.3pc in Q1 2026, up from 4.9pc last year, marking the fastest first-quarter economic growth since 20"
1080,4,4,167.4,17.5,2,KTNNewsKE,879240,The National Council of Churches of Kenya (NCCK) has issued a stern warning to the Independent Electoral and Boundaries 
1084,6,5,1781.1,178.2,1,NationAfrica,4265144,KRA COLLECTS Sh2.8tr revenue in 2025/26 financial year on sustained growth in domestic revenue mobilisation; a 10.6pc gr
1100,2,2,278.6,278.6,0,Aduiwayanga,241179,"Maria Sarungi na genge lao la kigaidi la wanaharakati walitaka Saba Saba iwe siku ya maafa, lakini vijana walionyesha he"
1101,2,2,977.7,977.7,0,Kibet_bull,161162,Some months in politics and Edwin Sifuna is on top of Matiang’i and at the same level of Kalonzo Musyoka who has been in
1103,3,3,348.2,319.4,0,Grace_Mlowe,11623,"Mikopo kwa Sekta Binafsi Yapanda kwa Asilimia 23.6%, Ikifikia Trilioni 44.6 Mwaka 2025

Mikopo kwa sekta binafsi imeonge"
1110,7,5,1493.4,101.8,1,citizentvkenya,6853796,Former KDF officer Major Peter Mugure gets life sentence for the 2019 murder of his wife and two children https://t.co/M
1112,2,2,24.7,24.7,1,ntvkenya,5352499,"Erastus Ethekon, IEBC Chairperson: We will use the digital register in Ol Kalou parliamentary mini-poll. That register i"
1137,2,2,53.9,53.9,1,StandardKenya,2732827,"High Court dismisses Rastafarian’s bid to legalise bhang; Justice Mwamuye rules petition lacks merit, upholds Kenya's st"
1146,2,2,10.9,10.9,1,KTNNewsKE,879240,Democratic Congress Party (DCP) candidate Sammy Kamau has expressed confidence that he will emerge victorious in the Ol 
1157,2,2,338.2,338.2,0,kenyancryptos,1030,"I am Bropeo Omondi,  I am a Luo.
Sifuna is my presidential candidate 
Mimi ni Sifuna 

#lindamwananchi
#SisiNdioSifuna h"
1159,6,6,121.8,37.1,4,AllienAizz,9126,"Exciting news for Kenyan youth! The Kenya Kwanza Administration is rolling out NYOTA Phase 2, releasing KSh 3 billion in"
1164,133,28,618.3,162.5,9,Tweets_by_maia,13907,"Kenya Kwanza continues delivering meaningful development across TransNzoia County as PCS Mudavadi witnesses roads, schoo"
1165,11,8,1803.9,62.4,3,cbs_ke,168022,"Trans Nzoia Governor and DAP Kenya deputy leader George Natembeya has announced his departure from the political party, "
1166,2,2,2.1,2.1,1,StandardKenya,2732827,"KNEC has disbursed Sh1.5b to clear marking allowances for all 2025 KJSEA and KCSE examiners, Education CS Julius Ogamba "
1167,2,2,10559.5,10559.5,0,ArapTaharqa,223,@MoraraKebaso Matiangi? 😂😂😂
1170,5,5,1875.3,1277.4,0,TabraizAurah,4264,🚨Waseem Abbas and Saba Hameed are now divorced!! Waseem Abbas revealed during a recent podcast that his marriage with Sa
1177,3,3,152.3,128.0,0,Lightcasttvke,8323,"""Sifuna is still the SG of ODM unless he resigned!""~Senator Cherargei infront of Sifuna at the CPAC committee chaired by"
1180,3,2,260.0,260.0,0,WanjiruJenty,65,Activists declaring victory after Saba Saba look ridiculous. People chose calm nation building instead of joining disord
1183,4,3,21271.3,12671.5,0,pearl_aloharxxx,17149,"SABA Virtual WC Tournament
กีฬา SABA X ฟุตบอลโลก 2026    
1 มิถุนายน - 10 กรกฎาคม 2569 นี้!
ลุ้นรับรางวัลรวมสูงสุดถึง 36"
1185,2,2,135.1,135.1,0,StandardKenya,2732827,Conservationists in Kenya have called for an immediate stop to all activities that result in the destruction or excision
1206,3,2,135.6,135.6,0,StandardKenya,2732827,"Fibroids remains one of the most common health conditions affecting women, yet many continue to suffer in silence due to"
1210,7,2,63.5,60.8,0,timothyturunga,16984,Irungu Kangata should stop lying to Linda Mwananchi and Sifuna that they can climb the mountain without visiting @rigath
1211,4,2,1625.3,155.1,0,ntvkenya,5352499,"Meet Kenyan teen shaping TikTok's global safety policy

Michelle Wanjiru, 17, sits on TikTok's Youth Council

https://t."
1221,4,2,419.9,0.1,1,KTNNewsKE,879240,"The 1,693 Early Childhood Development and Education (ECDE) teachers in Meru are a happy lot after the county government "
1242,12,11,17736.3,2295.3,0,EustusKoine,15,@Dennis_Itumbi02 Wantam
1243,2,2,0.0,0.0,1,KTNNewsKE,879240,As Arabic rap thundered from loudspeakers and hundreds of spectators packed the stands in the occupied West Bank city of
1253,3,3,612.1,320.6,1,_KithureKindiki,99052,"The primitive culture of political violence poses grave danger to our country’s future.
Reject and expose the sponsors a"
1254,2,2,4343.3,4343.3,0,unpre_dicted,2595,@Misspreety17 Kwa kina ndoa nayo hapana bana😅😅
1256,4,2,2271.0,486.0,0,NationAfrica,4265144,"Does the labia really disappear during menopause? 
https://t.co/aHM9ajAJDh"
1263,50,40,33274.2,20450.9,0,wmwengah,60009,"The Bomas International Convention Complex will transform Nairobi into a premier global conference destination, with an "
1271,3,2,90.7,24.7,1,_7zackiee,11227,The 2027 election is not about politicians versus William Ruto but about the People of Kenya versus a rogue regime that 
1273,2,2,3.5,3.5,1,_s3an__,32,This election is The People of Kenya vs William Ruto. The WANTAM platform empowers grassroots members to choose their ch
1274,3,2,8909.6,8909.6,0,KTNNewsKE,879240,"Global oil prices soar over 5pc as US President Trump ends Iran ceasefire, sparking fresh Middle East strikes; Brent cru"
1285,4,3,1007.3,680.5,0,NationAfrica,4265144,Court rejects bid to nullify Gachagua's DCP registration https://t.co/3mYOCJrwlD
1293,2,2,2.6,2.6,1,GameYetu,76513,"#FIFAWorldCup: ""NO ONE GIVES US ANYTHING FOR FREE!""
Argentina 🇦🇷 captain Lionel Messi believes the defending champions d"
1294,2,2,23.4,23.4,1,BadmanDecember,391,"@TonyMkenya7 Ruto built Murkomen, Cheruiyot and Ichungwa. Now he has built Methu, Nyoro, Malala and Kang'ata, but this t"
1296,16,10,376.4,12.7,9,Kenyans,2736581,"Edwin Sifuna removed as Senate deputy minority whip, replaced by Eddy Oketch https://t.co/DDtDhwLf3p"
1297,5,3,2769.4,1130.7,0,citizentvkenya,6853796,Court suspends President Ruto's Order placing IPOA under Interior Ministry https://t.co/1jgmkyrKnl
1343,4,4,1535.3,436.3,0,ChikombeLevi,372,@JimmyKings8 TAWE
1423,2,2,1112.0,1112.0,0,ntvkenya,5352499,"Police confront NMG journalists filming barricade at Allsops, force them to delete footage before letting them go https:"
1436,4,4,916.9,27.9,2,doyledeno,29,@pksalasya @rigathi Akili ndio hakuna
1440,2,2,54.0,54.0,1,mesalim_r,262,"@Maskani254 @kawive @nisisikenya @TISAKenya 36 years later, Kenya has established stronger democratic institutions and l"
1501,8,6,4561.5,4424.9,0,JohnJoh96896351,74,@Kibet_bull Porojo ya tutam👇 https://t.co/RcAZJl5O02
1534,2,2,85.9,85.9,0,Gitongasuma,594,@Wambuib4sky Watu wakule ujinga yao
1550,2,2,6322.3,6322.3,0,MariaSTsehai,1373055,"Ila mnachokitafuta nyie madhulmat mtakipata!
Kwa nini mnanyanyasa hivi vijana ambao wanapambana na ugumu wa maisha!? Kis"
1553,5,5,284.9,232.5,0,Gitz__,57406,"Ebu pitieni huko https://t.co/cvfQdwwAHk mwangalie kama your voter details ziko.

Naona IEBC wameanua zangu ! https://t."
1562,2,2,4.2,4.2,1,georgediano,200127,The referee trying his best to assist the weak Argentina. FIFA Script is playing on well.
1566,4,3,496.7,34.2,2,citizentvkenya,6853796,High Court orders Nairobi County Finance CECM Charles Kerich to surrender himself at Industrial Area Prison and begin se
1579,5,5,13514.7,6824.0,0,GenZedRebellion,3043,@HonMoses_Kuria WANTAM NGAMIA HII
1626,2,2,937.1,937.1,0,jomo_felix,314,@Maryian96 Kibra
1629,7,2,12035.0,12035.0,0,YoungPriest0091,1429,"Uhuru alikua anafanyia nn Pesa zetu, ange tumia akili ivi kama murkomen baba angekua president 😂"
1640,2,2,65.6,65.6,0,jmuragengunjiri,5171,Yesterday Kindiki engaged with Chiefs from Ol Kalou  and today he will be meeting with Security agencies and later launc
1647,6,6,70.3,38.0,4,Wangari_Anita_,13223,"Young entrepreneurs can benefit from mentorship, networking and enterprise support during NYOTA season 2. Ruto Funding D"
1657,2,2,3.1,3.1,1,PeopleDailyKe,241444,IEBC urges parties to adopt gender rule for 2027 elections. #PDUpdates https://t.co/lAJifPwZUw
1660,26,11,2062.3,71.0,4,KimLeftsmile,12588,"Young Tanzanians rejected unrest and focused on work, education, and business. Their actions demonstrated that peace rem"
1676,2,2,72.0,72.0,0,cbs_ke,168022,President William Ruto has confirmed Kenya's AFCON 2027 preparations are on track after receiving a progress briefing at
1684,3,2,1855.8,95.9,0,NationAfrica,4265144,"UHC workers protest six-year wait for job security 
https://t.co/NDmlT6ZG11"
1689,2,2,385.0,385.0,0,NationAfrica,4265144,How eight years of gym consistency changed my body https://t.co/jlX2NqUGP1
1698,6,5,32.8,32.7,4,theweeknd6699,1550,Kiambu engagements reinforce the importance of accessible leadership that remains connected with wananchi while promotin
1704,2,2,29.8,29.8,1,KTNNewsKE,879240,Stephen Kimutai and Vivian Jerono were crowned champions of Kaptagat Forest Marathon on Saturday. Kimutai dominated the 
1711,29,20,1468.0,102.9,3,NationAfrica,4265144,INFOTRAK POLL: President William Ruto most popular presidential hopeful if 2027 elections were held today at 32pc; Kalon
1712,5,2,914.9,129.9,0,StandardKenya,2732827,The High Court has certified as urgent a contempt application seeking to have National Assembly Speaker Moses Wetang'ula
1716,2,2,45.2,45.2,1,KTNNewsKE,879240,"The European Union and Britain targeted Russia Monday with coordinated sanctions over cyber attacks in Europe, accusing "
1720,4,2,730.0,75.0,0,KTNNewsKE,879240,Wiper Patriotic Front Leader Kalonzo Musyoka said the opposition is determined to give the country a suitable presidenti
1728,2,2,13.5,13.5,1,citizentvkenya,6853796,High Court temporarily suspends implementation of Sh2.5m fine imposed on Nakuru Town East MP David Gikaria by IEBC for b
1731,3,2,630.0,31.6,1,KTNNewsKE,879240,"With technology fast evolving, innovators are burning the midnight oil to offer unique solutions, especially in an era w"
1739,2,2,341.4,341.4,0,KKCommetary,3667,"If you were so confident of victory, why start talking about rigging before a single vote is cast? 

#GachaguaConcedesOl"
1759,4,2,1997.0,62.0,0,NationAfrica,4265144,"Angry backlash as US bars citizens from entering directly from Congo's Ebola zone 
https://t.co/62HenTBeDM"
1769,2,2,662.8,662.8,0,C_NyaKundiH,1106315,"Why is IEBC silent on what is happening in Ol Kalou? Are they scared of Ruto, or this is the early rehearsal of what Ken"
1771,2,2,60.0,60.0,1,NationAfrica,4265144,"TREASURY CS John Mbadi appoints James Mworia, Fahima Ali, Christopher Kibui, Latoya Ouna, Lawrence Kibet and Mohammed Ab"
1773,6,6,9518.9,9370.7,0,mi6rima,4913,@Isaac_Otwoma #SisiNdioSifuna
1776,15,8,619.5,283.5,2,AmoPsychic,10111,"A strong economy is built by people who wake up every day to work, trade, and invest in their future, not by chaos. Tanz"
1790,2,2,1225.2,1225.2,0,ntvkenya,5352499,"While many of us are debating the economy, global investors are betting BIG on Kenya's future #nationverticals https://t"
1802,2,2,10.3,10.3,1,JosephMasta2,1687,"BREAKING NEWS 
The office of the registrar of political Parties says removal of Edwin Sifuna by the ODM party was in ord"
1818,2,2,219.1,219.1,0,StandardKenya,2732827,The Democracy for Citizens Party (DCP) leader Rigathi Gachagua has called on the Independent Elections and Boundaries Co
1829,2,2,0.0,0.0,1,StandardKenya,2732827,"History favors Argentina, who remain unbeaten in their seven previous meetings with Switzerland, winning five and drawin"
1850,2,2,104.9,104.9,0,Kenyans,2736581,You find a young child calling another child ‘Kasongo’ at school because they have learned it from us - Kipchumba Murkom
1852,2,2,2.1,2.1,1,UniqArts254,549,"#sifuna4president
State House 
President William Ruto 
Boda Bodas
What Wamunyoro Said"
1854,2,2,343.1,343.1,0,NationAfrica,4265144,Underdogs bite hard in Eastern region school games https://t.co/HdFRX80axZ
1859,3,3,1005.9,551.0,0,_jahom,33779,KSh121 million for Ol Kalou by-election. That’s what DCP raised in June. Methu received KSh89 million to facilitate camp
1863,3,2,745.0,715.0,0,NationAfrica,4265144,University ordered to pay students over missing marks https://t.co/6wKZm2LUFl
1874,3,2,117.2,0.0,1,KTNNewsKE,879240,"Kenya's shortage of quality jobs could push up to 2.4 million more people below the poverty line this year, with the Wor"
1878,26,13,160.4,38.3,7,Her_agape,23818,"From the diaspora to local villages, every Kenyan now has an equal say in selecting the opposition flagbearer.

 This in"
1881,3,2,174.0,174.0,0,StandardKenya,2732827,"Religious leaders have been challenged to admonish political leaders who perpetuate hatred in the country.

As the count"
