post_id,text,human_label,human_label_v1,human_dehumanisation,human_violence_call,human_ethnic_targeting,human_coded_language,human_confidence,human_rationale,translation_used,human_label_pre_adjudication,human_adjudication,reference_flags,label,flags,target_group,confidence,rationale,warnings
2076176895083704657,"@andysitian @Adele_lide Kwani kasongo removed his on money, Takataka wewe mtoto wa mchawi umbwa.",offensive,hate,True,False,False,True,high,"The tweet dehumanises the target with 'Takataka wewe... umbwa' (You are filth... dog) and layers coded insult with 'mtoto wa mchawi' (child of a witch), a culturally loaded Swahili slur used to delegitimise and shame.",False,hate,non_target_hate_to_offensive,"[""dehumanisation"", ""coded_language""]",offensive,[],,high,"'Takataka wewe mtoto wa mchawi umbwa' is personal abuse of an individual, with no protected-group target.",[]
2075513624525705435,"@ledamalekina kuleni tu na your benevolent dictator, you almost brought down bomas of kenya and now you're a choir member, what a fearful moran",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,low,"'what a fearful moran' mocks the politician Ledama as an individual, not the Maasai community as a group.",[]
2078154930511073517,"Rigathi Gachagua; Wewe Kasongo, nilikuonya usiguze Mlima, ukaguza Mlima, uliona ile aibu ulipata jana. Na bado tunakungoja 2027. Umetangaza vita na wakikuyu",hate,hate,False,True,True,True,high,"The tweet directly threatens and frames conflict along ethnic lines with 'Umetangaza vita na wakikuyu' ('You have declared war against the Kikuyu'), while 'Mlima' (Mountain) is coded language for the Kikuyu/Mount Kenya community, and 'tunakungoja 2027' carries an implicit retaliatory threat.",False,hate,,"[""violence_call"", ""ethnic_targeting"", ""coded_language""]",offensive,"[""coded_language""]",,low,"'nilikuonya usiguze Mlima ... Na bado tunakungoja 2027' is coded menace aimed at Ruto as an individual, while wakikuyu are defended not attacked.",[]
2072137185449345067,If you want to know Kikuyus are dumb. They were told if Raila became president he would force them to wear shorts. Motherfuckers believe it even old men. In this era you still a community still can’t think. TUTAM hadi kenya ikuwe Singapore. Uzuri saa hii Raila alishakufa. Wakikuyu wajaribu kusema ng’we 2027. They think only Kibaki could do it. Ruto is devil himself.,hate,hate,True,False,True,False,high,"The tweet explicitly targets the Kikuyu ethnic group with collective dehumanisation, calling them 'dumb' and 'Motherfuckers' who 'can't think', framing an entire community as intellectually subhuman.",False,hate,,"[""dehumanisation"", ""ethnic_targeting""]",hate,"[""ethnic_targeting""]",Kikuyu,high,'Kikuyus are dumb ... a community still can't think' ridicules the Kikuyu community collectively.,[]
2078627216460575193,"RT @Kibet_bull: A controversial Kalenjin radio caller applauds kipisigis who had gone to Wamunyoro. He reveals how property including tractors belonging to residents of Angata Barikoi were destroyed, kipsigis living in hemas and pretending to be in government. How kipsigis leaders aided the grabbing of Samburet,Chelimo and Angata Barikoi land. He also says better kalenjins not to vote again.",hate,hate,False,False,True,True,medium,"The tweet ethnically targets Kipsigis as land grabbers and colluders with government, with the phrase 'kipsigis leaders aided the grabbing of Samburet, Chelimo and Angata Barikoi land' framing an entire ethnic group as collectively responsible for dispossession of other communities.",False,hate,,"[""ethnic_targeting"", ""coded_language""]",neither,[],,low,"A bare RT relaying a radio caller's account of land grabbing and property destruction, with no discernible adopted author stance, so the conservative repost rule applies.",[]
2077462415122338163,Wazimu ni @WilliamsRuto minions directing the hate towards @rigathi Wanatumia kichwa kama dirisha ya kuchungulia ngono ya caretaker Tulienda kwa streets kusema #rutomustgo Hiyo zingine sijui mnaleta pelekeeni mamorio huwadinya👍🏿,offensive,offensive,False,False,False,True,high,"The tweet is offensive due to crude sexual vulgarity directed at political opponents, most explicitly in 'pelekeeni mamorio huwadinya' ('take it to the dildo, it fucks you'), where 'mamorio' is Swahili/Sheng slang requiring local knowledge to parse.",False,offensive,,"[""coded_language""]",offensive,[],,medium,"'pelekeeni mamorio huwadinya' and the crude sexual abuse target Ruto's 'minions', a political grouping, not a protected group.",[]
2074669579930890382,@NjiruAdv Are u a retard? Ruto everyday its a no brainer.,offensive,offensive,True,False,False,False,high,"The tweet uses the ableist slur ""retard"" as a direct insult, which is dehumanising and offensive, though it targets an individual rather than a protected group.",False,offensive,,"[""dehumanisation""]",offensive,[],,high,"'Are u a retard?' is a personal insult aimed at an individual over politics, with no protected-group target.",[]
2078364957251432535,@ntvkenya DONT impose Kikuyu tyranny on Kenya. Liberate central Kenya first from the Gachagua dictatorship before imposing your shareholder mind set on Kenya again. You must also GO. Vote yourselves out and don't try to sneak in behind Sifuna or Kalonzo. We are tayad!,hate,hate,False,False,True,False,high,"The tweet targets the Kikuyu ethnic group by invoking 'Kikuyu tyranny' and 'Gachagua dictatorship,' framing the group as politically oppressive and demanding their exclusion from national leadership.",False,hate,,"[""ethnic_targeting""]",neither,[],,medium,"'DONT impose Kikuyu tyranny... Vote yourselves out' criticises perceived ethnic political dominance with a lawful electoral remedy, which is criticism of identity politics.",[]
2074142904227180582,Enyewe it’s not cheap to rent a kikuyu.,hate,hate,True,False,True,True,high,"The phrase ""rent a kikuyu"" commodifies members of the Kikuyu ethnic group, framing them as objects available for hire and thereby dehumanising them through a transactional metaphor.",False,hate,,"[""dehumanisation"", ""ethnic_targeting"", ""coded_language""]",hate,"[""ethnic_targeting"", ""coded_language""]",Kikuyu,low,'not cheap to rent a kikuyu' commodifies and ridicules Kikuyu collectively through a purchasability stereotype.,[]
2074027527920656845,@FGaitho237 So He doesn't have a right to believe in Matiangi because he's a fellow Kisii..we tutigithie.,offensive,offensive,False,False,False,True,medium,"The Kikuyu-language phrase 'we tutigithie' functions as a dismissive, contemptuous put-down directed at the individual being addressed, carrying offensive force that depends on knowledge of local vernacular.",False,offensive,,"[""coded_language""]",neither,[],,high,'he doesn't have a right to believe in Matiangi because he's a fellow Kisii' defends a person's support rather than attacking a group.,[]
2077826792224653601,"Kikuyus have the worst hate and beef man... If you don't fuck with their kingpin, kura haupati kabisa ata kama wewe ni mkikuyu... Martha Karua with rao... Now Muchina with ruto😂😂😂😂",offensive,offensive,False,False,False,False,high,"The tweet is offensive due to the crude generalization 'Kikuyus have the worst hate and beef' paired with the vulgar phrasing 'don't fuck with their kingpin', but stops short of hate speech as it is a cynical political observation with no dehumanisation or incitement.",False,offensive,,[],hate,"[""ethnic_targeting""]",Kikuyu,low,'Kikuyus have the worst hate and beef' is a flat derogatory generalisation stirring contempt against the group.,[]
2076527612529344713,"@mbiti_mwondi Raila was not greedy. Ruto utaona vile atafanya 2027, he'll take over ODM operations, he will fund the goons.. Itakua noma. Outcome ya 2027 election ni Ruto or Ruto.",offensive,offensive,False,False,False,True,medium,"The tweet is offensive through the phrase ""he will fund the goons,"" dismissively labelling political supporters as hired thugs, with ""Itakua noma"" (Swahili: 'it will be ugly/bad') reinforcing an ominous but non-explicit tone without rising to a direct violence call or ethnic targeting.",False,offensive,,"[""coded_language""]",neither,[],,high,'Outcome ya 2027 election ni Ruto or Ruto' is political prediction and analysis with no operative attack phrase.,[]
2070399159903928404,"You are overworking sir. I have lived to see the presidency of Kibaki and Uhuru as a grown up and all I keep asking, why are people singing wantam when no president has ever done all this in his first term. Then I realize it’s the Kikuyus. Their worry is Kenyans may never allow the mediocrity of another Kikuyu president. You’ve show us the light. Kenyans now know, you can come from anywhere and be the president as long as you get the job done. Mambo ya sijui tyranny of number hio ni ujinga ya huko kenol hatutakubali tena!",hate,hate,False,False,True,True,medium,"The tweet targets Kikuyus as an ethnic group with the framing 'Their worry is Kenyans may never allow the mediocrity of another Kikuyu president,' using coded dismissal ('tyranny of numbers ni ujinga') to frame Kikuyu political interests as illegitimate collective self-interest rather than policy.",False,hate,,"[""ethnic_targeting"", ""coded_language""]",neither,[],,low,"'you can come from anywhere and be the president as long as you get the job done' frames the post as criticism of ethnic entitlement and tyranny of numbers, not group-directed hate.",[]
2073621324170215479,"A bunch of weak man-ginas looking up to. A female leader, manyeeeh ma ngui, Fucking aye!!! #LindaMwananchiGusii #SISINDIOSIFUNA? #WANTAM",offensive,offensive,False,False,False,True,high,"The tweet uses the gendered slur ""man-ginas"" and the Gusii-language insult ""manyeeeh ma ngui"" to mock and demean men who support a female leader, constituting offensive speech through coded/local-language abuse.",False,offensive,,"[""coded_language""]",offensive,[],,medium,"'weak man-ginas looking up to a female leader' is vulgar gendered abuse of political supporters, not an attack on a protected group as such.",[]
2075278596323647536,"Mange Kimambi na Maria Sarungi wana ugomvi mkubwa sana sasaivi. Wame-panic maandamano yao kutoungwa mkono na Watanzania. Wamekosa pesa nyingi za wafadhili, wanajua hawana credibility tena ya kuhamasisha ugaidi tena Tanzania. Muda sio mrefu wataanza kutukanana matusi hadharani.",offensive,offensive,False,False,False,False,high,"The tweet makes a defamatory accusation against named individuals, calling them instigators of terrorism with the phrase 'kuhamasisha ugaidi tena Tanzania' (inciting terrorism again in Tanzania), which is offensive without rising to hate speech targeting a protected group.",False,offensive,,[],neither,[],,medium,"'wanajua hawana credibility... ya kuhamasisha ugaidi' is an allegation and prediction about two named activists, no protected-group target.",[]
2078034906425254290,Wakale walienda kukula pesa ya Rigathi just the same way Kikuyus ate Ruto’s money. That trip was 100% funded by Gachagua,offensive,offensive,False,False,False,True,high,"The tweet is offensive due to the use of 'kukula pesa' / 'ate Ruto's money' — a Kenyan coded euphemism that collectively accuses ethnic communities of corruption, framing political misconduct in a culturally loaded metaphor without rising to hate speech.",False,offensive,,"[""coded_language""]",neither,[],,medium,"'Kikuyus ate Ruto's money' is a transactional corruption claim about political payments, not group-directed contempt.",[]
2078625170399384020,@4b5857cda2054d1 @Wakabando Kikuyu hate Ruto cos he reneged on their shareholder script and being their lap dog for equity and inclusivity by engaging supposed non shareholders to their chagrin. They only see Sifuna as their lapdog with Gachagua at the table securing 50%. Nothing about good governance.,hate,hate,False,False,True,True,medium,"The tweet targets Kikuyu as an ethnic group with collective negative intent, framing them through the coded metaphor 'shareholder script' and 'lap dog' to portray the community as self-interested ethnic power brokers — 'Kikuyu hate Ruto cos he reneged on their shareholder script' conflates ethnicity with conspiratorial political entitlement.",False,hate,,"[""ethnic_targeting"", ""coded_language""]",neither,[],,low,"'reneged on their shareholder script' criticises the Mt Kenya bloc's political-strategy posture, which is criticism of identity politics.",[]
2075516463293603900,@DrRoselynAkombe If Kisiis depend on Onyoncha to propel Matiangi to presidency then they are toothless community,offensive,offensive,True,False,False,False,high,"The tweet dehumanises the Kisii community by calling them 'toothless community', implying powerlessness and worthlessness as a group.",False,offensive,,"[""dehumanisation""]",hate,"[""ethnic_targeting""]",Kisii,low,'they are toothless community' belittles the Kisii community collectively.,[]
2073767221709451397,@MrErickRicky @pksalasya See the reason why i am insisting that you are deranged just like Salasya who you are trying to defend here. You are not even aware that your Salasya supports Gachagua's led United Opposition. Nyinyi ni kumbafu sana.,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,high,"'you are deranged... Nyinyi ni kumbafu sana' is personal abuse of individuals over politics, no protected-group target.",[]
2074531230570151944,"@Honcalebamisi @gikundamarangu The mountain is indeed an expensive bride in every conceivable way! You can rent a Kikuyu, but you can't fully succeed to buy one!",hate,hate,True,False,True,True,high,"The phrase 'You can rent a Kikuyu, but you can't fully succeed to buy one' commodifies the Kikuyu ethnic group as purchasable objects, using transactional metaphor as coded dehumanisation targeting a protected ethnic group.",False,hate,,"[""dehumanisation"", ""ethnic_targeting"", ""coded_language""]",hate,"[""ethnic_targeting"", ""coded_language""]",Kikuyu,low,"'You can rent a Kikuyu, but you can't fully succeed to buy one' commodifies and ridicules Kikuyu collectively as purchasable.",[]
2071932298451112289,"If Black South Africans were gathered in the millions armed with crude weapons in order to chase away Boers who have enslaved them, stolen 90% of their wealth and rendered them destitutes in their own country, fascist @realDonaldTrump would have sent warships, launched tomahawk missiles and orchestrated a @UN Security Council resolution condemning the violence and calling it “White Genocide.” @elonmusk would have turned @X into a White Revolutionary Media! But because the victims are Black Africans, the entire white world is silently cheering!",hate,hate,False,False,True,False,medium,Attributes complicity in atrocities to an entire racial group globally: 'the entire white world is silently cheering!'.,False,hate,,"[""ethnic_targeting""]",neither,[],,medium,"'the entire white world is silently cheering' is political commentary condemning racial double standards and Western hypocrisy, not a dehumanising attack on a protected group.",[]
2077905987634098339,"RT @citizentvkenya: Rigathi Gachagua: I’m told they want to try and overturn the results and if they can’t, they cause chaos so that the election is cancelled so that they get another opportunity to repeat the elections. Even if they do, the results will remain the same. That is the Kikuyu nation for you",hate,offensive,False,False,True,False,high,'That is the Kikuyu nation for you' transfers blame for political chaos onto the entire ethnic community.,False,offensive,protected_target_to_hate,"[""ethnic_targeting""]",neither,[],,medium,"'That is the Kikuyu nation for you' is a reposted news quotation of Gachagua praising resilience, not an attack on any group.",[]
2073850941598478601,"@jmuragengunjiri The most gullible and stupid lot are these wantam mongrels, they consume anything negative about the government bora ni propaganda, it somehow makes them feel good",hate,offensive,True,False,True,True,high,'wantam mongrels' - 'mongrels' dehumanizes Kikuyu-associated opposition movement.,False,offensive,protected_target_to_hate,"[""dehumanisation"", ""ethnic_targeting"", ""coded_language""]",offensive,"[""dehumanisation""]",,medium,"'these wantam mongrels' abuses a political grouping with a dog metaphor, targeting supporters rather than a protected group.",[]
2077087720707358827,"How fools reasons,,,, huyu aende nyumbani na kasongo wake",neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,medium,"'How fools reasons... huyu aende nyumbani na kasongo wake' insults an individual and their political allegiance, with no protected-group target.",[]
2075172069566763028,"Western is irredeemably divided, and not even the presidency will unite them. Their conversation is always about clans where someone comes from. Bukusu think leadership is their birthright and other luhyas are their subjects. Believe me ,not , William Ruto will get more votes in Western Kenya than the opposition presidential candidate 2027.",hate,offensive,False,False,True,False,medium,'Bukusu think leadership is their birthright and other luhyas are their subjects' - collective attribution of superiority complex,False,offensive,protected_target_to_hate,"[""ethnic_targeting""]",neither,[],,medium,'Bukusu think leadership is their birthright and other luhyas are their subjects' criticises clan identity politics analytically rather than attacking a protected group.,[]
2073398689364684874,"@HassanMcOjwang Kasongo akichukua mic atasema vile helathcare is free huku, watu wa tutam have a special place in hell if at all it exists",hate,offensive,False,False,True,False,high,'watu wa tutam have a special place in hell' - consigning Luhya community to damnation collectively.,False,offensive,protected_target_to_hate,"[""ethnic_targeting""]",offensive,[],,medium,"'watu wa tutam have a special place in hell' condemns a political grouping, not a protected group.",[]
2072782341454377172,@makaumully Duale and Mbadi definitely so that they can concentrate full time in organising 2027 post election violence against the Kikuyu community. They are already inciting other Kenyans against Kikuyus. They should not be earning from our tax payers contributions.,hate,offensive,False,True,True,False,high,'organising 2027 post election violence against the Kikuyu community' - direct accusation of planned ethnic violence.,False,offensive,protected_target_to_hate,"[""violence_call"", ""ethnic_targeting""]",neither,[],,medium,"'organising 2027 post election violence against the Kikuyu community... inciting other Kenyans against Kikuyus' alleges and condemns incitement, defending rather than attacking the community.",[]
2074063563119870278,@georgediano Bungoma has a substantial sabaot vote block in Mount Elgon and Kimilili are very clueless .,hate,offensive,False,False,True,False,high,'sabaot vote block... are very clueless' - collectively declares the community as stupid.,False,offensive,protected_target_to_hate,"[""ethnic_targeting""]",neither,[],,medium,"'substantial sabaot vote block in Mount Elgon and Kimilili are very clueless' is electoral-bloc analysis with a mild jab at a locality, not a protected-group attack.",[]
2074385558013431877,@gabrieloguda Talanta Stadium hiyo ujinga ingine pelekea nyanyako,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,medium,"'hiyo ujinga ingine pelekea nyanyako' is dismissive personal abuse of an individual, with no protected-group target.",[]
2075559968283971624,Irungu Kang'ata has just received an unexpected 'fuck you' from Gachagua. The wa-mabarua now looks like the clown he made of himself bowing to Wamunyoro,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,medium,"'the clown he made of himself' and 'wa-mabarua' ridicule Kang'ata as an individual politician, not a protected group.",[]
2076194521482670352,"This is something I've been consistently telling Kenyans. Some people labelled me a Fool. Truth be told, Edwin Sifuna and Babu Owino will never stick together. This a competition of Egos. None amongst them wants to be led by the other. Caleb Amisi is another gentleman to watch.. infact he stopped attending the Linda Mwananchi rallies. The split is very very imminent. Na huku Western Kenya Papa Wa Roma is fully back on the ground. Watajua Hawajui!",offensive,offensive,False,False,False,False,high,Political attack / offensive speech.,False,offensive,,[],neither,[],,high,'The split is very very imminent' is political prediction about ODM egos and alliances with no attack.,[]
2073839392746041535,@JimmyKings8 Murkomen ni kihii tu kama Kasongo. Hii Kenya ni ya macuzo. Kasongo na Murkomen waendee macuzo wao South Sudan.😂😂☝️,hate,offensive,False,False,True,False,high,'Hii Kenya ni ya macuzo. waendee macuzo wao South Sudan' - ethnic supremacy claim plus expulsion call based on circumcision practices.,False,offensive,protected_target_to_hate,"[""ethnic_targeting""]",hate,"[""ethnic_targeting"", ""coded_language""]",Kalenjin,low,'kihii tu' plus 'waendee macuzo wao South Sudan' attacks Ruto and Murkomen with an ethnicised insult and origin-based expulsion to a claimed foreign homeland.,[]
2074924931997999451,"Opportunist propaganda, If plenty of Ksh were sent your way from UDA, you would be spinning about tutam",offensive,offensive,False,False,False,False,high,Political attack / offensive speech.,False,offensive,,[],neither,[],,medium,"'If plenty of Ksh were sent your way from UDA, you would be spinning about tutam' is a political accusation of opportunism, not abuse of a protected group.",[]
2075176797340102829,"I have said many times that some Africans are actually savages and love killing one another. That why they justify mob justice. The guy below is John Kalange who lost his life after Mombasa residents accused him of stealing their private parts. Akili za uchawi! Just accusations,They killed him without a trial! Late they found it was a lie .",hate,hate,True,False,True,False,medium,"Describes Africans collectively as 'savages' who 'love killing one another', combining ethnic targeting with dehumanisation.",False,hate,,"[""dehumanisation"", ""ethnic_targeting""]",neither,[],,low,"'They killed him without a trial' condemns a mob lynching, with 'savages' used to denounce that violence rather than attack a protected group.",[]
2072682220817379695,Murkomen and Aaron Cheruiyot battling for Kalenjin supremacy not knowing they are the most hated leaders in Kalenjin and outside Kalenjin. No tribe will ever try Kalenjin again,hate,hate,False,False,True,False,high,"'No tribe will ever try Kalenjin again' - collective ethnic exclusion declaration, NCIC standard for stirring ethnic separation.",False,hate,,"[""ethnic_targeting""]",neither,[],,medium,"'the most hated leaders in Kalenjin and outside Kalenjin' criticises named Kalenjin leaders and their standing, not the community.",[]
2074505459935953358,"@Ceaser_X6 @HEBabuOwino Luos will always want to be ahead of luhyas, we know that. Babu has been clear he wants Nairobi GV seat, here I just see a bitter soul",offensive,hate,False,False,False,False,high,Group-targeted attack / incitement.,False,hate,non_target_hate_to_offensive,[],neither,[],,low,"'Luos will always want to be ahead of luhyas' is a mild ethnic-rivalry characterisation framing Babu's ambition, without degrading attack.",[]
2078652119587201483,@DrOparanya These are the foolish luhyas who think they can fight their son edwin sifuna openly and recklessly. ODM has died politically yet this old luhyas still want us to support ruto?? Hii wivu ya waluhya ni real. Mzee you are making political miscalculation like your senile oburu,offensive,offensive,False,False,False,False,medium,"'foolish luhyas who think they can fight their son' targets specific Luhya political actors opposing Sifuna, not the whole community.",False,offensive,,[],hate,"[""ethnic_targeting""]",Luhya,medium,'foolish luhyas' and 'Hii wivu ya waluhya ni real' attribute foolishness and jealousy to the Luhya community collectively.,[]
2075608949542269329,"Na wakikuyu mjue, Edwin Watenya Sifuna si Raila Odinga na wala si kibii ama kihii,Ile war mlikuwa mkiona wajaluo kwetu musijaribu,we are far worse animals that Luos.",hate,hate,True,True,True,False,high,'we are far worse animals that Luos... musijaribu' - mutual dehumanization plus veiled threat.,False,hate,,"[""dehumanisation"", ""violence_call"", ""ethnic_targeting""]",hate,"[""ethnic_targeting"", ""violence_call"", ""coded_language""]",Kikuyu,medium,"'Na wakikuyu mjue... musijaribu, we are far worse animals that Luos' warns Kikuyu of ethnic violence, invoking the earlier war.",[]
2070932374536224962,Herman Manyora opines that pushing Edwin Sifuna out as ODM's Secretary General paints the party as one owned by the Luo community.,offensive,hate,False,False,False,False,high,Group-targeted attack / incitement.,False,hate,non_target_hate_to_offensive,[],neither,[],,high,'paints the party as one owned by the Luo community' reports Manyora's analytical opinion without attack.,[]
2075105434956972140,@C_NyaKundiH Kenyans are very a pathetic lot. There is nothing they will do come 2027 and that's exactly what the government and its partners IEBC will do and they will be assisted by gangs in or without uniform. Mta do?,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,low,"'Kenyans are very a pathetic lot' degrades the general public in political frustration, with no protected-group target.",[]
2074794095789133860,"@HonMoses_Kuria Mbwa wewe,after the by election you gonna return them to the owner,we know you disgusting kipii!",hate,hate,False,False,True,False,high,Attacks a politician using an ethnically-tied cultural slur ('disgusting kipii').,False,hate,,"[""ethnic_targeting""]",offensive,"[""coded_language""]",,medium,"'Mbwa wewe... disgusting kipii' abuses Moses Kuria as an individual with an insult and coded circumcision jibe, not a group attack.",[]
2077913440954257738,"@C_NyaKundiH Rent a Kikuyu, Yes You Can but buying one, No You Can't. Ruto thought his billions would endear him. We hate traitors &amp; bullies. Govt used and exhausted all the tricks in the books and lost. My takeway from Ol Kalou , we SHALL have post election violence in 2027!",hate,hate,True,True,True,False,high,'Rent a Kikuyu' commodifies an ethnic group; 'we SHALL have post election violence in 2027' threatens violence.,False,hate,,"[""dehumanisation"", ""violence_call"", ""ethnic_targeting""]",neither,[],,low,'We hate traitors & bullies' uses in-group 'we' Kikuyu framing and predicts violence rather than attacking a protected group or calling for harm.,[]
2075259609309135206,"Rigathi and his Kikuyu team led by Muturi are determined to keep Matiangi and Sifuna far from power in the opposition,he is only comfortable with A weak kalonzo,my advice to Sifuna is join Ruto and deny these mafia a Kikuyu controlled government,we can wait for 2032.",hate,hate,False,False,True,False,medium,'his Kikuyu team... these mafia... deny these mafia a Kikuyu controlled government' - links Kikuyu ethnicity to mafia.,False,hate,,"[""ethnic_targeting""]",offensive,[],,medium,"'these mafia' abuses Rigathi's political team while discussing a 'Kikuyu controlled government', targeting politics not the Kikuyu community.",[]
2074936454254370906,@Justusessays @NyaduwaO @LeviMunyeri Not even our govt hawa (Luos for obvious reasons ) wataenda Maandamano wapitie kwa iyo area ata ikuwe protected aje like Area 51 waingie uko na ivo do disaster itakam!,hate,hate,False,True,True,False,medium,'(Luos for obvious reasons)' plus 'disaster itakam' - implied negative trait and threat of violent consequence.,False,hate,,"[""violence_call"", ""ethnic_targeting""]",hate,"[""ethnic_targeting"", ""coded_language""]",Luo,low,"'(Luos for obvious reasons)... do disaster itakam' stirs contempt against Luos as disaster-causers, though broken syntax leaves it ambiguous.",[]
2078473415694909880,@WhiteHouse No country can be great when the members of its government are proxies for some shit hole terrorist country in the middle East,hate,hate,False,False,True,False,high,'shit hole terrorist country in the middle East' - collective attack on national origin.,False,hate,,"[""ethnic_targeting""]",offensive,[],,medium,"'shit hole terrorist country in the middle East' is vulgar abuse of an unspecified foreign country, not an identifiable protected group.",[]
2074222111023943885,@UDAKenya Ni kama mko na kichaaa nini. Narok is fuckiiiiiing one term.,neither,neither,False,False,False,False,high,No hate or offensive speech.,False,neither,,[],offensive,[],,high,"'Ni kama mko na kichaa' and 'fuckiiiiiing one term' vulgarly abuse UDA, a political party.",[]
