text,true,pred,p_pred
We wrote the hate speech report so that other stakeholders would have easy access to the law on #hatespeech . For example what happened at the St. Stephens chapel wasn't just defacement it was defilement ( s. 295 IPC - read more in,offensive,neither,0.98407537
Kikuyus are responding with stupidity of the highest level.. The only thing they recognize is a fellow kikuyu winning an election. Silly!!!! @user,offensive,hate,0.98388296
Woi! RT @user : kisiis students take heart ; im sure arsenal fans are stupider but if you are a ksii arsenal fan ; mungu akuoenakine,neither,hate,0.9837144
@user ngori ni hawa wakale watiaji,offensive,hate,0.98309267
WAJALUO WAKO READY FOR NYAMA CHOMA FEST THIS APRIL 29TH @user @user @user @user #TwendeChomaFest2017 #GainwithXtianDela,offensive,neither,0.9830602
KALENJINs threaten to kill KETER/ LAGAT politically for working with,offensive,hate,0.9826978
What did Ababu and Otuoma deliver? #ElectionsBoycottKE,offensive,neither,0.9826209
Your Geography teacher atajiua,offensive,neither,0.98237175
We won't relent in our quest. Kenya must be liberated from the itchy hands of kikuyus and Kalenjins. #resistNRM .,offensive,hate,0.98228896
Handshakes that will shock Kenyans this year Shebesh-Kidero Joho-Ruto Passaris-Miguna Tarus-Omtata bonifacemwangi-EzekielMutua Nyakundi -Assorted CEOS Slayqueens-Team mafisi Mark this tweet!! #Miguna,offensive,neither,0.9822098
@user poster girl Roselyn Akombe,offensive,neither,0.98218197
I have noticed Kikuyus are afraid of #secessionKe this is fishy. they want to rule by force,offensive,hate,0.98133284
We insist #NoReformsNoElections . This man @user & the entire @user need to be sent packing pic.twitter.com/sdiofX2Nxg,offensive,neither,0.9808514
Wow we have come to this now? ~> RT @user :am not being tribalistic!!!! Luos are immature. #truth,offensive,hate,0.98022044
Luos are politically suicidal and only an incestrous clan encourages inbreeding like retaining leadership among...,offensive,hate,0.98009026
I have reported you. I have also complained to the Jewish College of Berkshire. Both of these I will persue. Furthermore when @user return where you are the Chaplain I will be making formal complaint about your #HateSpeech on twitter.,offensive,neither,0.97985405
LUOS are the most ignorant people except for a few those guys are much engulfed in tribalism and won't allow those guys to lead us #victim,offensive,hate,0.97974235
Luos and luhyas are the ones ! RT @user : but i like how fast they bury the dead sio kama sisi wajaluo..,offensive,hate,0.979673
Kikuyus are Capitalist Kalengins/others(somali)in JP are pastrolist &industrialist BOTH OF THEM ARE BUSY CHANGING THEIR LIVES no time 4this,neither,hate,0.9794096
You can delete your #tweet full of #HateSpeech But you just can't disable us from having a #Screenshot to be used as an #evidence ag your #AntiState #agenda i.e. #DamaDamMast ! @user @user @user @user @user #Hatespeech #Reported ! pic.twitter.com/4dlYY9QoEn,offensive,neither,0.97936606
This matatu from Ramisi to Likoni has only two Kisiis (the driver and the conductor) but they are noisier than ten Luos...my head aches.,offensive,hate,0.97910255
WILL THEY KILL ALL THE LUOS ?,neither,hate,0.9786204
We need a sober conversation on important issues not an exchange of words. The host and Sifuna should keep their cool #MunduKhuMundu #JKL,offensive,neither,0.9783825
Well guess what your puppy president cant even leave his bedroom! No one recognizes his shitty presidency except kikuyus who he doesnt care for anyway!,offensive,hate,0.97818714
All thieves are not kikuyus all kikuyus are thieves. I wonder what #Waiguru 's kids are gonna steal after their mother stealing everything.,neither,hate,0.97815436
We can not end tribalism. Its our identity. Even Americans Europeans hav e their cocoons @user @user #Tribalism254,offensive,neither,0.9776985
We as Kenyans will send @user and @user home come next free fair & credible elections. Answered? #NoReformsNoElections,offensive,neither,0.9776943
Baba not boarding on this one. Msandos wife. Baby Pendo. Rhis guys will kill luos in 2022. They dont care.,neither,hate,0.9776318
We all agreed to kill tribalism and be Kikuyus !!,offensive,hate,0.9776249
very sad....they should style up.. and get to know that the Nyakundi of today is not the Nyakundi of 1994.,offensive,neither,0.9775774
Well the Previous 5 Year determination has to eradicate poverty & unemployment has failed! Time to #FagiaWote #ElectionsKE,offensive,neither,0.97756106
Yahoo! Sports: Masai Ujiri is Annoyed the Toronto Raptors Are Considered Soft and Pushovers (Yahoo! Contributo...,offensive,neither,0.97745675
Why is it taking so long for the jubilee gov't to send their condolences... #RIPMsando,offensive,neither,0.9774269
Luos are bussy burning their towns.You say Ukambani is CORDED have seen them burn Masaku? @user @user #ArrestKimaniNgunjiri,offensive,hate,0.9772767
Luos are not as stupid as the MAU MAU and MUNGIKI who are on record of even killing their own tribesmen. When in your days on earth did you hear that Luos kill Kikuyus? Confused element! #StopEthnicCleansing,offensive,hate,0.97719383
This is how you come up with more Moses Kuria Ushenzi. #StopUhurusWarDogs #RailaTheWardogSince82 pic.twitter.com/DNiE98bGyw,offensive,neither,0.97678
We will fight to the end even if President Kenyatta kill all luos in Bondo and Migori..Uhuru MUST go #RailaOnCitizenTV #OppositionDemos,offensive,hate,0.97668934
Luos are not as stupid as the MAU MAU and MUNGIKI who are on record of even killing their own tribesmen. When in your days on earth did you hear that Luos kill Kikuyus ? Confused element! #StopEthnicCleansing,offensive,hate,0.9764614
Why would Mungiki orchestrate killings in an area where Kikuyus are the minority outmatched and outnumbered?,neither,hate,0.9762782
Wakale gani hao falaii,offensive,hate,0.9759443
Sad when government appointments are for Kikuyu and Kalenjins . Is that unity. Shame on you.,offensive,hate,0.9759228
Kalenjins are changing their minds soon Ruto will be irrelevant to them,neither,hate,0.9754496
Very @user_ : Merus are Ruthless,offensive,hate,0.9750813
Luos are ingrained since birth that all their problems are because of Kikuyus . It's time we divorce #RailaSecessionPlan,offensive,hate,0.9750633
Luyas are prone to accidents,offensive,hate,0.97468513
@user but Luos are faster :-P,neither,hate,0.974642
What is the composition of key state institutions? Why are we not demanding that they reflect the face of Kenya? #EthnicHateInKenya,offensive,neither,0.97429854
Waiganjo should shut up.Why is it only LUOS that are killed when we are dealing with national issues. They wanted to RIG ELECTIONS. #JUMA .,offensive,hate,0.97415847
What's wrong with these Kikuyus ? Do they think they can be in power forever? Too much chest thumping!,neither,hate,0.97400904
With individuals griefing it is still a dysfunctional state. #LuoLivesMatter,offensive,neither,0.9734856
Voting out ain't enough prosecuting and jailing to follow. #fagiawote,offensive,neither,0.9730417
Kalenjins are busy running their mouth and hao ndyo wamejaza all govt offices in nyanza.,neither,hate,0.9725604
Wht am seeing in Kisumu shld nt happn in othr prts of the Nation. It shows hw circumcision is important 2 human beings. #ElectionsBoycottKE,offensive,neither,0.97210103
What kind of a question poll is this surely? @user #BungeOpening #CanaanIsReal #noreformsnoelections #NasaInKibra #NasaForChange,offensive,neither,0.971791
You are confirming what @user said: a majority of those attacking @user are Kalenjins and Kikuyus . Kenya is sadly tribal,neither,hate,0.97175914
Usikuwe mjinga tafadhali! Kaa huko ----> RT @user Luos are just violent,offensive,hate,0.9716411
Babu is the coward wanajubilee kwanza Cc wakikuyu hahaaiya,neither,hate,0.97130305
Kikuyus took advantage n stole from fellow kikuyus brother.Your tribe is known for theft.keep off the demos n u wont see theft.,neither,hate,0.9704368
Wamasai na waruke Wajaluo na waimbe Wakikuyu na wacheze Watu wote sisimkeni pigeni makofiii,neither,hate,0.970022
this tho --- RT @user : @user I'm saddened by the fact that most of the people asking for the govt to harm you are Kikuyus ..,neither,hate,0.96944606
Y r Most Tyre shops in Nairobi are owned by kambas,neither,hate,0.9692768
Unless they are from kisumu the idiots otherwise that can't be kikuyus,offensive,hate,0.96877193
To us we know them as Gold Diggers but to Kalenjins they are 'Coal Tikas',neither,hate,0.9686566
Hawa wakikuyu watamaliza #kenya aki!! Do this corrupt idiots evr care of our future generates #kot @user,offensive,hate,0.9684507
YOU MAN #MosesKuria Your too Girly Girly @user @user @user @user #REGGEASPLASH,offensive,neither,0.96735984
Shame on Kuria be honest when you talk!!!! Do you think they are Kikuyus,neither,hate,0.9671449
Wajaluo na wakikuyu... Si you live your lives and hate on people of your level. Like Sudanese from where you came from.,offensive,hate,0.9667586
Valentine's Day is all Yellow for Kambas and people who are Colour blind,neither,hate,0.96588844
Wakikuyu Walifika Canaan Kitambo Hakuna Mashamba Imebaki Ni Plots Tu Zinauzwa Na Gakuyo Za 40 by 80,neither,hate,0.9656007
When China's PM came to Kenya he granted a further $300m to NYS for equipment & machinery. There is vicious war over this loan from Exim bk,offensive,neither,0.96553725
Where is this tallying centre ....I'm really wondering if it actually exists.. #RailaPresser,offensive,neither,0.9652555
Today Nasa says it has obtained IEBC database records - which they've already said is invalid -showing Raila won the election #RailaPresser,offensive,neither,0.96502644
Wiminz Nyakundu has claimed one of our own. Nyakundi +1,offensive,neither,0.96498835
Your mother's name should be sacred and if kuria or kamau happens to follow that route they automatically get a curse.,neither,hate,0.9649798
You hate Luos right?,neither,hate,0.96457857
Waiting for Chiloba to come and trash all these.Jubli mercenary. Chiloba weweeee #RailaPresser,neither,offensive,0.96412915
Hao ni wakikuyu do you see a white blood there,neither,hate,0.9634259
Kamba women y' all are beautiful but u just have to stop talking sometimes. even for a minute.,offensive,neither,0.9633459
I hear kikuyus are not watching the debate instead they are recording it to DVDs to sell,offensive,hate,0.9631954
Wakamba hamtai ongoza labda sisi wakikuyu Na kalenjin tuhame Kenya,offensive,hate,0.963088
You are nothing.,offensive,neither,0.963022
What exactly was happening at 2:45am that sparked this outburst? Was Trump tweeting at the same time? Who wakes up with this kind of vitriol in the middle of the night? Get up go pee and the go back to sleep. #HateSpeech,offensive,neither,0.96299964
we follow but you dont follow back you only follow your few allies then come 2022...,offensive,neither,0.96168166
Word that kill a luhya ......Karibu ndani ndo ata tumemaliza kula!,neither,hate,0.96165234
which country?? Say kikuyus and Kalenjins mourns nkt,offensive,hate,0.9616449
wajaluo watakumeza boss,offensive,hate,0.9611315
UHURU imagine Raila is not on the ballot papers but still you are rigging.whats wrong with kikuyus ?yani unajibia mwenyewe?,offensive,hate,0.96052337
When i see @user CEO Ezra Chiloba smiling at city mortuary i can gauge where we are headed #RIPMsando,offensive,neither,0.9602839
Wachana na sisi buana RT @user: Wakikuyu wanaweka viazi kwa fruit salad.,offensive,hate,0.95950943
When you re-sit an exam you must do better than in the previous exam! Is #Uhuru listening? #ElectionsBoycottKE pic.twitter.com/l2H1iYa6lY,offensive,neither,0.95935786
Who said its only Kikuyus who are tribal and corrupt ?has raila mudavadi and kalonzo never mentioned in any corrupt scandal??,neither,hate,0.9592981
Yes let's take Shabazz at number 20 since we are really struggling at the point guard position. Everyone hates Masai now? Check yourself,offensive,neither,0.9591201
u r asking this of a drunk president who stole 2 elections.whose relatives r stealing at afya house.who called supreme court judges wakora & intimidated them to rule in his favour.who never said a word when an IEBC official was killed in his reign.its official kikuyus r stupid!,offensive,hate,0.9585368
This>RT @user What I hate the most about no network in the bush is its taken me this long to find out Man U lost!! *does a maasai jump*,offensive,neither,0.9582139
This is the good thing about NASA supporters ...not all of them are psychopaths and they subject their minds to reason,offensive,neither,0.9580423
this is gonna be goooooood RT @user : The luyas are gonna Doyas. Making plans with the Dodos. 7 piece monster under construction.,offensive,neither,0.95801586
We the silent majority Kikuyus face daily hardships taunts and harassment for being Kikuyu. We have nothing to do and are not part of the murderous looting elite class. We are just their convenient cover.,offensive,hate,0.95779884
Hawa wakisii hawana mbinu ingine ya kuua?! RT @user : A woman stabs another to death in Nyamira over love triangle.,offensive,hate,0.957604
Were you forced at gunpoint to vie as women rep in Kiambu? @user Give a word of advice here to your colleague #Pundaamechoka,offensive,neither,0.957603
FROM WATCHMAN TO PILOT IN 10 YEARS! WHAT WERE YOU TEN YEARS AGO?? CHECK THIS OUT,offensive,neither,0.95571023
Wakamba ndo hawa sasa....,neither,hate,0.95570284
We are here to educate the Luhya community,hate,neither,0.9556631
WaJaluo have spread the baby naming habits,neither,hate,0.9555662
Why summon Nyakundi for doing the best in highlighting the rots and illegal deals yet The real criminals are always free #NyakundiSummoned,offensive,neither,0.9553516
What the fuck dummy ...go to the AG and use the savings you would make not doing a show ceremony to take her to a honeymoon!!,neither,offensive,0.95418644
will never share a table with this murderers #NoReformsNoElections #partnersincrime my stomach churns on hearing Bomas pic.twitter.com/3k0QOhT3vH,neither,offensive,0.95381564
Wakikuyu kwani ndio wa maana kuliko wengini?so self centred you are...which media you speak of ?the jubilee one,neither,offensive,0.9538093
All these fuckfaces should go continue lick Jubilee ass...Return2Reason is meant only for @user and Jubilee #NoReformsNoElections,neither,offensive,0.95328957
Uhuru lacks consistency in fighting corruption! practice what you preach! #UhuruEuroThieves,neither,offensive,0.95315725
Tulifanyia huyu nini aki?! RT @user : #KillAllKikuyusToShunTribalism,neither,hate,0.9522238
Kambas WINNING! RT @user : What twitter has taught me; kisiis are witches luhyas love tea kambas are surprised luos are rich.,offensive,hate,0.9518579
have u been wondering why kambas like sex why kisii's like uchawi why kiuks are watery why somalis use water to...,offensive,hate,0.9516662
we are the king makers when ir kams to love matters. the kambas r bitter leave them. @user,neither,hate,0.9516394
Where is the late Msando's missing arm/hand? You'll be in for it @user . #RIPMsando,offensive,neither,0.951421
Were the murderers of Mugabe Were ever brought to book? #RIPMsando #RIPMusando,neither,offensive,0.9511254
Uhuru in bomet earlier today. Cant u c it? Thy hv nthng to gain in slaying msando. No motive! #neverRAILA #RIPMsando pic.twitter.com/dPHoTHR8rB,neither,offensive,0.950988
We need to stop being complacent idiots. To all you staunch Jubilee & CORD,neither,offensive,0.9506714
Wetangula can only Bolt to be a minister; he would not win his seat if he bolted. Luhyas are civic minded @user @user,hate,offensive,0.9504947
We won't let Raila take this country to the dogs #NoRailaNoPeace,hate,offensive,0.950122
Thot its nyanja..RT @user : Luos are just too much now..why the hell do they call it 'nyanza za kimataifa'.. unless I heard it wrong,neither,hate,0.9499752
Kikuyus tried to help him - hasaidiki. Chebukati tried to help him - hasaidiki. Safaricom the media and...,offensive,neither,0.9499015
Luhyas are really confusing everbody. MATIBA is still alive. We are mourning MADIBA.,neither,offensive,0.9498721
True bt why? Kibaki ordered for killing spree in Naivasha/ Nakuru?True?Raila ordered Kalenjin to burn and kill Kikuyus ? Who has the truth?,offensive,hate,0.9497158
women prefer married guys n the Luos are on the lead we are finished,offensive,hate,0.9493747
What can Mr. Chebukati teach us about leadership? Be a water Melon #ElectionsBoycottKE #LessonfromChebukatti,offensive,neither,0.9488621
Wakikuyu walikula mbuzi ya nani?,neither,hate,0.9482359
KIKUYUs hate WETANGULA with a passion Look at what they said after he collapsed!: Friday November 7 2014 - ...,offensive,hate,0.9480667
We take this as a serious decree of discrimanation maasai voted for Jubilee goverment to the man n we are very...,offensive,neither,0.94789785
Waseme bail ni pesa ngapi tutamtoa,neither,offensive,0.94727105
Where's NYS cash Waiguru?you shouldn't even be in office #VifarangaVyaKompyuta,neither,offensive,0.94725543
We are ready to sacrifice the one soo called Nyakundi coz he is the one who mislead us.,neither,offensive,0.94665915
Wachaneni na boy child. Kihii ni kia Ngai,neither,offensive,0.9463505
Who the fuck is 'orders from above' Instead of arresting mega corruption suspects they go for Nyakundi . Idioms,neither,offensive,0.94569653
Will the government of the day be liable as well when spreading fake reports?,offensive,neither,0.9453863
UKenyatta believes Kikuyus are being attacked same script as his sycophants no solution to vulnerable Kenyans #MpeketoniAttack,neither,offensive,0.9451382
hawa madame wa nyeri wamezidi sasa itabidi tuexchange waluhya waende waishi nyeri halafu wakikuyu wapelekwe western.,neither,hate,0.9437423
you have a BIG problem with Kikuyus . Your tribal hate is bad; not good for your health.,neither,hate,0.9434436
@user hehe pia iko ki msee ni kihii,neither,offensive,0.94341683
You we dont know that kikuyus were frced take oath by drinking human blood by kenyattas no wonder u r all bewitched includng the unborn,offensive,hate,0.94288117
When your IQ is sprayed with Uthamaki blood #JubileeMaizeScandal,neither,offensive,0.9424175
Kalenjins ' cats are usually obese 'cause they take too much milk. Kinda like the one in my AVI. Lol. You should see my neighbours'..,neither,hate,0.94230443
Hawa wakamba wa makueni ni mahustler sana @user @user,neither,hate,0.9419512
Kama Mudavadi hatakua flag bearer yangu kura ni ya Jubilee. Wajaluo wanazarau Waluhya sana.,neither,hate,0.941636
UTHAMAKI DEVELOPMENT e were told only Luos are anti development so what is this: 'Starehe MP Maina Kamanda...,neither,hate,0.94126457
Why search a car of someone they already know.....they know you Mr. Githinji. They are searching for non Kikuyus .,neither,hate,0.9406783
What advice did he give? Kill all Luos ?,offensive,hate,0.9399701
Wajaluo wacheni ujinga baba yenu @user ako Karen ana relax kwanini muumie ako wapi @user @user,neither,hate,0.9396134
Very stupid of you. Kenyattas have stolen land from millions of kikuyus and you want to talk about Raila?? Bure wewe,neither,offensive,0.93902355
Ugenya we have lost an unmatched brain.Justice shall one day prevail however long it shall take#RIPMsando,neither,offensive,0.93898684
You could have done better by fighting corruption teeth and nail. Uthamaki must fall.,neither,offensive,0.93837994
Shauri yako Hon @user we have no problem if you continue to embarrass yourself. Am now convinced that you are indeed Shame proof. @user s win is immense and you must be confused. #wembeniuleule,neither,offensive,0.93832177
Shut the fuck up. He's my favorite. After Michael Jackson. #blocked #reported #HateSpeech,neither,offensive,0.937506
We will use legal means to pile pressure on Jubilee- Raila,neither,offensive,0.9373698
Wether you hate kikuyus or not they are the best thing that happened to this country .. #Uthamaki,hate,neither,0.937271
Luhyas Luos Kikuyus Kalenjins kambas are the minorities. The poor are the majority .....stolen,neither,hate,0.93688667
Where will he get food to eat while Nyakundi also exploits our gullibility?,neither,offensive,0.93681324
Beautiful kalenjin girls are as a result of intermarriages between Kikuyus and the kipsigis.,neither,hate,0.93677473
Wildebeests in the Maasai Mara migration are pretty much like my women. Running away just when I want to make love to them.,offensive,neither,0.93620676
Tom Mshindi did Uhuru's dirty work and is repaid with dirt! He deserves it.,neither,offensive,0.93616545
Kalenjins are always hungry. Peas by Tray is like music to their ears,offensive,hate,0.9358252
Very idiotic @user is. Respect for you is lost. In your tribal thinking Kisii's Luhyas Coasterians etc are all #Jubilee ?,neither,offensive,0.9348674
What should we expect with a regime of Killers. High time for Kenyans to stop Let's move on mentality #RIPChrisMsando #RipMsando,neither,offensive,0.93468237
I have my reason. I don't hate all Luos I detest only one!! I love all Kenyans you included.,offensive,neither,0.9343635
You hate my people you sabotage them by ordering killings but I want u to know that I'm a proud monkey.We shall overcome #LuoLivesMatter,offensive,neither,0.93391484
Those who are celebrating a 'landslide win' of sijui 97% are real MORONS. #ElectionsBoycottKE,neither,offensive,0.9338851
We wanted somebody with trump qualities smbdy who wil return arsenal's glory smbdy who wil sign only 3yrs contract if he doesn't perform we get the fuckin away with him spend money fill our drawer with cups nothing more nothing less #WelcomeUnai,neither,offensive,0.9338664
You're the bullshitter bruh! Nyakundi has created the opportunity for you to make some pennies from Waiguru and Sonko. Don't slap the hand that feeds you!,neither,offensive,0.9338577
Who are you to us what to do a part from being #VifarangaVyaKompyuta !You said so about @user & robbed Raila's win,offensive,neither,0.93353957
Why do you keep creating hate facebook pages to insult Raila Odinga and Luos? Or to ridicule Uhuru Kenyatta and Kikuyus ? Get a life. #Idiot .,neither,offensive,0.93337893
Luhyas are under a systematic well choreographed and frivolous social attacks in these streets. Achaneni na sisi.,neither,offensive,0.93315375
Who follow those cunts? @user: Hawa wazungu ni mafala ati go and retweet my favs n later follow me.If you dont follow em you are a hoe,neither,offensive,0.93295586
Which kikuyus jimmy wanjigi is kikuyu look at what the govt is doing to him,neither,offensive,0.9319545
Why do you want to be paid for a book that you didn't authored? Bure kabisa,neither,offensive,0.93173337
Kikuyus are the only ones that are happy with these thieves your day is coming,neither,offensive,0.93166536
WHich is this Kamwana Who is 50 years Fuck all these Kikuyus defending Uhuru.who did the Luo whose family n hse was burnt in Naivasha kill?>,offensive,hate,0.93153936
We will move forward without you DP. The entire country can't wait to retire you. The will of the people is supreme #NoReformsNoElections,neither,offensive,0.9309108
Your comments were too hash. Not all Luos are beggars.,offensive,neither,0.93041825
You mean kikuyus are to blame even for the shortcomings of your leaders who u elected back at home? kikuyus must be terrible people,neither,hate,0.9303089
banar RT @user: achana na sisi lol RT @user : South Africans are displaced Luhyas or is it Luhyas (cont),neither,hate,0.93030596
What power!! Magic powers maybe.. The people got the #power . ..wait you will be disappointed. #NoReformsNoElections,offensive,neither,0.9302155
You mean #UhuruEurothieves fake list is what we have been waiting since #Waiguru left. Raila continues to prove that he is a big_time joker.,neither,offensive,0.929028
Big Names fall. #FagiaWote 1. Isaac Ruto 2. Peter Munya 3. Jack Ranguma 4. Evans Kidero 5. David Nkedianye 6. Nathif Aden 7. William Kabogo,offensive,neither,0.9288388
Who owns KAMEME FM. Hate speech has been used to create a wage between Luos n Kikuyus since the sixties for the benefit of few tribal elites,neither,hate,0.92830485
Where were all these thieves that are stealing our taxes hiding during Kibaki's time? Why is every public institution managed by thieves?,neither,offensive,0.9282421
We forget that Luos are Nilotes and pastrolists. They fear farm work. -Prof. Okoth Okombo.,neither,hate,0.9281717
To @user : You're both incompetent and a wuss. CHOOSE ONE STRUGGLE. Kenya is bigger than your stomach. Resign! #NoReformsNoElections,neither,offensive,0.92794806
Unataka kusema flat earth theory ama vile Illuminati iliua prince,neither,offensive,0.9267492
Uko na ushoga @user kwanza you are from Turkey you lightskin nigga #ElectionsBoycottKE #ElectionBoycottKE,neither,offensive,0.92655426
Kikuyus or Kenyans ? You sound Lost and Incoherent Sir !,neither,offensive,0.92647904
Which election??? Will you vote for yourselves??? #NoReformsNoElections,offensive,neither,0.92618936
via SIMIYU PS ADVISE TO KIKUYU MEN- CIRCUMCISION. I hear you are bashing Luos on foreskin issues. Your Heroes are ...,neither,hate,0.9259109
Waiting for an uthamaki sycophant to blame this on Raila.,neither,offensive,0.9257536
Uhuruto thinks Kenya is theirs. Their time of self entitlement & ownership is over. Kenya belongs to us all. #NoReformsNoElections,neither,offensive,0.9252455
Wajaluo wanasumbua allafu wanataka wapewe free Soda and breads ama? Live Bullets Omeraaaa,offensive,hate,0.924655
Whick KAMBAS are you?? #dead,neither,offensive,0.9245047
What are the chances that all coins will land on Kikuyus or Luos?,offensive,neither,0.92422336
your such a moron you reason with your ass in fact you you hate luos you don't know that I even hate Kikuyus mpre,hate,offensive,0.9240669
WAHOME bursts UHURU/ RUTO s constant lie about RAILA! KIKUYUs will hate this,offensive,hate,0.92401874
Kikuyus and other tribes have decided not to vote and save their souls.Mandago sudi and Keter will kill us. @user @user @user,neither,hate,0.92365503
We need great minds like @user in Kenya other than drunkards and thieves #SupremeCourtDecides #WakoraNetwork #NoReformsNoElections,neither,offensive,0.92361695
What's the salary of being a President??? why must one die because of it...... From today I hate Kenya!! #RIPMsando,neither,hate,0.9225564
Why are Kikuyus so paranoid about this ?,offensive,hate,0.9218282
yang kemarin kasus hatespeech yang dilaporin sama Pak Mahfud gimana kabarnya...? jadi dia ngelaporin km ke mabes polri..?,offensive,neither,0.92169553
When are we holding a national dialogue conference to form a caretaker government. #SupremeRuling #NoReformsNoElections,offensive,neither,0.9216877
Been waiting for Jakom's list #UhuruEuroThieves Jakom please pill off that mask.,neither,offensive,0.9213974
Waiguru pulled that stunt with #NYSSCANDAL she ended up with a rotten egg on her face #UhuruEuroThieves,neither,offensive,0.921091
Tribalism in that only Kikuyus and Nandi/Kalenjins are the ones who think they will forever rule Kenya... That's the Problem! @user !,neither,hate,0.92056775
We will Retire Raila with finality. He must lose for the fifth time. UhuruRuto's 70+1 % will be real. #WembeNiUleUle,neither,offensive,0.9199438
Umerelate na wajaluo hadi unaupuzi kama hao ....you are tellin us what we already know! RT @user : Jubilee supporters don't let @user,neither,offensive,0.9198434
With a jubilee regime legendary for opaqueness; you must give it to Raila Odinga to have unearth documents for this scam #UhuruEuroThieves,neither,offensive,0.9197064
What are the chances that all coins will land on Kikuyus or Luos ?,offensive,neither,0.9196595
What the difference between you Nyakundi and the 3 goons? When you go calling other people names! Kirinyaga people are not idiots!!!!,neither,offensive,0.91927874
Uhuru's win nullified. Going back to Re-election #ShamefulElections #supremeverdict #SupremeCourtDecides #supremeruling #LuoLivesmatter,neither,offensive,0.9190589
Would Raila have made it without 1st mobilizing the Luos?or Uhuru the Kikuyus? Ruto the Kalenjins?etc =IDEOLOGICAL BANKRUPTCY #Tribalism254,neither,hate,0.9190271
Your fish-poop filled head cannot understand a simple thing like Judge Mohammed did not vote in the judgement! #LuoLivesMatter hogwash!,hate,offensive,0.9189108
KIKUYUS A BURDEN TO KENYA AND LIABILITY TO NATIONAL INTEGRATION,hate,neither,0.9187724
You know @user & #Jubilidiots are bereft when in their lowest web they pull the witchcraft card. #Decision2017 . #IamNotMilitia yet! pic.twitter.com/OUhaxMRsE0,neither,offensive,0.9185837
Utapata jembe and luos are fishermen RT @user exams ilale!!,neither,hate,0.9181308
victoria chase i am hatefollowing you and will not go fuck my selfie,neither,offensive,0.91761804
This is the most stupid hashtag ever come across #KillAllKikuyusToShunTribalism,offensive,hate,0.9176072
You are an 8-4-4 mentality idiot . Ruto is not the Kalenjin community . He is just one person out of millions of Kalenjins ...,neither,offensive,0.9175522
